iter	MultiClass
227	0.05063681926
228	0.05034596246
229	0.05002142195
230	0.04974668454
231	0.04944642896
232	0.04918357972
233	0.04881077631
234	0.04857672586
235	0.04825797085
236	0.04801191702
237	0.04775151797
238	0.04748160318
239	0.04718999876
240	0.046908225
241	0.04661169023
242	0.04637391361
243	0.04611613618
244	0.04584564186
245	0.04555843505
246	0.04529669893
247	0.04501246543
248	0.04481272244
249	0.04454951824
250	0.04431082322
251	0.04406004309
252	0.04383872175
253	0.04360459958
254	0.04338712753
255	0.04315719831
256	0.04289923755
257	0.04267880592
258	0.04244586639
259	0.04219014322
260	0.04195632578
261	0.04172427118
262	0.04150779222
263	0.04122932629
264	0.04103455926
265	0.04081157592
266	0.04060061038
267	0.04039113018
268	0.04022376694
269	0.04001193399
270	0.03982399629
271	0.03967309669
272	0.03946994707
273	0.03927818642
274	0.03908905937
275	0.03890831405
276	0.03871430669
277	0.03851353735
278	0.03831650976
279	0.03812436981
280	0.03793195069
281	0.03773196744
282	0.03758517256
283	0.03742642311
284	0.03726043532
285	0.03711945622
286	0.03691770449
287	0.03675021502
288	0.03658409331
289	0.03641049782
290	0.03620968275
291	0.03603538272
292	0.03584901874
293	0.03568205718
294	0.03552165753
295	0.03533075404
296	0.03518450813
297	0.03505049769
298	0.034880665
299	0.03472575053
300	0.03454840848
301	0.03439942679
302	0.03425005508
303	0.03410813122
304	0.03393178663
305	0.03380018201
306	0.03367540926
307	0.03352576755
308	0.03337926103
309	0.03324663324
310	0.03311025613
311	0.03292293417
312	0.0327926148
313	0.03262977285
314	0.03251575822
315	0.0323600934
316	0.0322231276
317	0.03211528315
318	0.0320094476
319	0.0318851582
320	0.03174147133
321	0.03162796474
322	0.03150454064
323	0.03140378336
324	0.03128116449
325	0.0311639131
326	0.03102957169
327	0.03089252634
328	0.03076177853
329	0.03062869866
330	0.03052425762
331	0.03038837799
332	0.03028016501
333	0.0301674978
334	0.03004838698
335	0.02990074628
336	0.02979491672
337	0.02966453271
338	0.0295421216
339	0.02942295069
340	0.02929166279
341	0.02917337139
342	0.0290673343
343	0.02895654752
344	0.02885789411
345	0.02872455851
346	0.02860640536
347	0.02850545488
348	0.0283926545
349	0.02829800167
350	0.0282102065
351	0.0281074235
352	0.02797576118
353	0.02786938876
354	0.02778005612
355	0.02767505576
356	0.02758483157
357	0.02750795045
358	0.0274193376
359	0.02732518575
360	0.02724525099
361	0.02715073867
362	0.02706296645
363	0.02695399514
364	0.02687331225
365	0.02677341267
366	0.02669174678
367	0.02659024956
368	0.0264771431
369	0.02638406116
370	0.02629539889
371	0.02622151609
372	0.02612222881
373	0.02603642647
374	0.02595074137
375	0.02587820696
376	0.0257993247
377	0.02572423432
378	0.02563677746
379	0.02554983263
380	0.02547796301
381	0.02540371361
382	0.02531853493
383	0.02523420741
384	0.02515993454
385	0.02507345992
386	0.02497790938
387	0.02489749624
388	0.02480322656
389	0.02471778629
390	0.02465234393
391	0.02456971615
392	0.02449424382
393	0.0244094369
394	0.02432677765
395	0.02425056215
396	0.02417884716
397	0.02410260602
398	0.02402199666
399	0.02394976345
400	0.02387105456
401	0.02378615209
