iter	MultiClass
0	3.456747145
1	3.326271738
2	3.200757576
3	3.094434711
4	2.992364846
5	2.885556002
6	2.782983189
7	2.684663925
8	2.582210492
9	2.473024205
10	2.371372555
11	2.285479181
12	2.206584861
13	2.119726399
14	2.035920092
15	1.957424686
16	1.882689313
17	1.820708342
18	1.754406138
19	1.693062986
20	1.622120863
21	1.56366287
22	1.506146457
23	1.449287393
24	1.39959966
25	1.343072242
26	1.297726928
27	1.253063615
28	1.20454418
29	1.161540989
30	1.121102831
31	1.078094118
32	1.042761425
33	1.008978604
34	0.9754562256
35	0.9403662157
36	0.9078961175
37	0.8762013679
38	0.8439261297
39	0.8158980752
40	0.7891319342
41	0.7628430615
42	0.739582743
43	0.7187208967
44	0.6970806437
45	0.6772863765
46	0.6570902553
47	0.6377443315
48	0.6195194144
49	0.6016907566
50	0.5822996063
51	0.5661973056
52	0.5501967766
53	0.533856204
54	0.5191311404
55	0.5051522132
56	0.491481867
57	0.4774285371
58	0.4648486774
59	0.4530094788
60	0.4414096431
61	0.4291686225
62	0.4194008918
63	0.4081270356
64	0.397693756
65	0.3878430343
66	0.3786505926
67	0.3681147482
68	0.3589281154
69	0.3496114535
70	0.3413772868
71	0.3334527318
72	0.3253699607
73	0.3179469228
74	0.3108538924
75	0.3043134522
76	0.297028069
77	0.2903565702
78	0.2835150196
79	0.2771420217
80	0.270378423
81	0.2636614272
82	0.257383438
83	0.2523129002
84	0.2473899856
85	0.2426320494
86	0.2376154183
87	0.2325468156
88	0.2276035374
89	0.2236678522
90	0.2194699796
91	0.2152705656
92	0.2112278249
93	0.207811786
94	0.203894053
95	0.2000566456
96	0.1968448215
97	0.1939257376
98	0.190185336
99	0.1868508722
100	0.1837238935
101	0.1809023352
102	0.177599529
103	0.1747581579
104	0.1719771523
105	0.1693480307
106	0.1666753624
107	0.1636751205
108	0.161133498
109	0.1589361889
110	0.1565077935
111	0.1542482612
112	0.1520498779
113	0.1497744221
114	0.1478167482
115	0.145778863
116	0.1433191694
117	0.1414686419
118	0.1396341823
119	0.1376255202
120	0.1359779263
121	0.1337936526
122	0.132356933
123	0.130409388
124	0.128907647
125	0.1270173753
126	0.1253486772
127	0.12368917
128	0.1224179348
129	0.1210580304
130	0.1194871339
131	0.1182029778
132	0.1162730785
133	0.1151884116
134	0.1137617886
135	0.1125915477
136	0.1109736042
137	0.1095476257
138	0.108180695
139	0.1069499901
140	0.1057763987
141	0.1045794119
142	0.1033888953
143	0.1021007188
144	0.1008958694
145	0.09977745466
146	0.09856133151
147	0.09760630925
148	0.09675389198
149	0.09560678759
150	0.09471032877
151	0.09372939268
152	0.09272979686
153	0.09175651481
154	0.09068918107
155	0.08977964031
156	0.0887567226
157	0.08763044677
158	0.08671981559
159	0.0858437058
160	0.08504775315
161	0.08432289009
162	0.0836188485
163	0.08286809461
164	0.08192507533
165	0.08109147847
166	0.08031352928
167	0.07975440244
168	0.07903544247
169	0.07834792402
170	0.07774607223
171	0.0770349597
172	0.07632047183
173	0.07559415993
174	0.07484220274
175	0.07422263128
176	0.07354488452
177	0.0728481198
178	0.07228993079
179	0.07173370942
180	0.07117063143
181	0.07062806378
182	0.07000456079
183	0.06933197153
184	0.0687199755
185	0.06820412855
186	0.067726004
187	0.06716695181
188	0.06662841342
189	0.06613050848
190	0.0655619709
191	0.06506250427
192	0.06451224024
193	0.06403859074
194	0.0636445979
195	0.06304167125
196	0.06256769818
197	0.0620234778
198	0.06160266888
199	0.06125499022
200	0.06082158483
201	0.06034847437
202	0.05983629853
203	0.05944449214
204	0.05902922051
205	0.05855269556
206	0.05820008366
207	0.05777734546
208	0.05745536958
209	0.05699632151
210	0.05661501409
211	0.05627189493
212	0.05579907858
213	0.05541174539
214	0.05506380563
215	0.05463305452
216	0.05426542453
217	0.05392606474
218	0.05358859934
219	0.05324593903
220	0.0529493889
221	0.05262833181
222	0.05226446778
223	0.05196006501
224	0.05160468206
225	0.0512841047
226	0.05093734373
