scenario_id,sub_experiment_name,model_name,random_seed,train_samples,test_samples,hyperparameters,model_path,train_accuracy,train_f1_weighted,train_f1_macro,train_precision_weighted,train_precision_macro,train_recall_weighted,train_recall_macro,train_top_1_accuracy,train_top_2_accuracy,train_top_3_accuracy,train_top_4_accuracy,train_top_5_accuracy,train_recognition_rate,test_accuracy,test_f1_weighted,test_f1_macro,test_precision_weighted,test_precision_macro,test_recall_weighted,test_recall_macro,test_top_1_accuracy,test_top_2_accuracy,test_top_3_accuracy,test_top_4_accuracy,test_top_5_accuracy,test_recognition_rate
1.1,S1.1_F_2_S1toS2,CatBoost,42,61,61,"{'iterations': 1000, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 1, 'border_count': 32}",scenario_results_scenarios_2025-12-23_134927_early_stop/catboost_S1.1_F_2_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26229508196721313,0.19320843091334894,0.19320843091334894,0.16666666666666666,0.16666666666666666,0.26229508196721313,0.26229508196721313,0.26229508196721313,0.4262295081967213,0.5409836065573771,0.7049180327868853,0.7540983606557377,0.26229508196721313
1.1,S1.1_F_3_S1toS2,CatBoost,42,61,61,"{'iterations': 1000, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 1, 'border_count': 32}",scenario_results_scenarios_2025-12-23_134927_early_stop/catboost_S1.1_F_3_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36065573770491804,0.2972677595628415,0.2972677595628415,0.27377049180327867,0.27377049180327867,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.4918032786885246,0.6557377049180327,0.6721311475409836,0.7704918032786885,0.36065573770491804
1.1,S1.1_I_1_S1toS2,CatBoost,42,61,61,"{'iterations': 1000, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 1, 'border_count': 32}",scenario_results_scenarios_2025-12-23_134927_early_stop/catboost_S1.1_I_1_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2786885245901639,0.214207650273224,0.214207650273224,0.18715846994535518,0.18715846994535518,0.2786885245901639,0.2786885245901639,0.2786885245901639,0.39344262295081966,0.47540983606557374,0.5737704918032787,0.6065573770491803,0.2786885245901639
1.1,S1.1_I_2_S1toS2,CatBoost,42,61,61,"{'iterations': 1000, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 1, 'border_count': 32}",scenario_results_scenarios_2025-12-23_134927_early_stop/catboost_S1.1_I_2_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3442622950819672,0.24699453551912562,0.24699453551912562,0.20956284153005464,0.20956284153005464,0.3442622950819672,0.3442622950819672,0.3442622950819672,0.4262295081967213,0.639344262295082,0.6885245901639344,0.7377049180327869,0.3442622950819672
1.1,S1.1_I_3_S1toS2,CatBoost,42,61,61,"{'iterations': 1000, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 1, 'border_count': 32}",scenario_results_scenarios_2025-12-23_134927_early_stop/catboost_S1.1_I_3_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3770491803278688,0.2633879781420765,0.2633879781420765,0.21448087431693988,0.21448087431693988,0.3770491803278688,0.3770491803278688,0.3770491803278688,0.5081967213114754,0.6557377049180327,0.7377049180327869,0.7704918032786885,0.3770491803278688
1.1,S1.1_T_1_S1toS2,CatBoost,42,61,61,"{'iterations': 1000, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 1, 'border_count': 32}",scenario_results_scenarios_2025-12-23_134927_early_stop/catboost_S1.1_T_1_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3770491803278688,0.2961748633879781,0.2961748633879781,0.2609289617486339,0.2609289617486339,0.3770491803278688,0.3770491803278688,0.3770491803278688,0.5409836065573771,0.6229508196721312,0.6885245901639344,0.7704918032786885,0.3770491803278688
1.1,S1.1_T_2_S1toS2,CatBoost,42,61,61,"{'iterations': 1000, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 1, 'border_count': 32}",scenario_results_scenarios_2025-12-23_134927_early_stop/catboost_S1.1_T_2_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26229508196721313,0.18087431693989067,0.18087431693989067,0.14890710382513658,0.14890710382513658,0.26229508196721313,0.26229508196721313,0.26229508196721313,0.4426229508196721,0.5409836065573771,0.6065573770491803,0.6885245901639344,0.26229508196721313
1.1,S1.1_T_3_S1toS2,CatBoost,42,61,61,"{'iterations': 1000, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 1, 'border_count': 32}",scenario_results_scenarios_2025-12-23_134927_early_stop/catboost_S1.1_T_3_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22950819672131148,0.1825136612021858,0.1825136612021858,0.16666666666666669,0.16666666666666669,0.22950819672131148,0.22950819672131148,0.22950819672131148,0.4262295081967213,0.5409836065573771,0.6065573770491803,0.6721311475409836,0.22950819672131148
1.1,S1.1_F_1_S1toS2,NaiveBayes,42,61,61,"{'priors': None, 'var_smoothing': 1e-09}",scenario_results_scenarios_2025-12-23_134927_early_stop/naivebayes_S1.1_F_1_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11475409836065574,0.07650273224043715,0.07650273224043715,0.0633879781420765,0.0633879781420765,0.11475409836065574,0.11475409836065574,0.11475409836065574,0.13114754098360656,0.14754098360655737,0.16393442622950818,0.16393442622950818,0.11475409836065574
1.1,S1.1_F_2_S1toS2,NaiveBayes,42,61,61,"{'priors': None, 'var_smoothing': 1e-09}",scenario_results_scenarios_2025-12-23_134927_early_stop/naivebayes_S1.1_F_2_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11475409836065574,0.07049180327868852,0.07049180327868852,0.05792349726775956,0.05792349726775956,0.11475409836065574,0.11475409836065574,0.11475409836065574,0.13114754098360656,0.14754098360655737,0.16393442622950818,0.18032786885245902,0.11475409836065574
1.1,S1.1_F_3_S1toS2,NaiveBayes,42,61,61,"{'priors': None, 'var_smoothing': 1e-09}",scenario_results_scenarios_2025-12-23_134927_early_stop/naivebayes_S1.1_F_3_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18032786885245902,0.1284153005464481,0.1284153005464481,0.11311475409836066,0.11311475409836066,0.18032786885245902,0.18032786885245902,0.18032786885245902,0.19672131147540983,0.19672131147540983,0.21311475409836064,0.22950819672131148,0.18032786885245902
1.1,S1.1_I_1_S1toS2,NaiveBayes,42,61,61,"{'priors': None, 'var_smoothing': 1e-09}",scenario_results_scenarios_2025-12-23_134927_early_stop/naivebayes_S1.1_I_1_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26229508196721313,0.19867291178766588,0.19867291178766588,0.17814207650273228,0.17814207650273228,0.26229508196721313,0.26229508196721313,0.26229508196721313,0.2786885245901639,0.29508196721311475,0.3114754098360656,0.3114754098360656,0.26229508196721313
