scenario_id,scenario_name,scenario_description,model_name,random_seed,num_sub_experiments,mean_test_accuracy,std_test_accuracy,mean_test_top_1_accuracy,std_test_top_1_accuracy,mean_test_top_5_accuracy,std_test_top_5_accuracy,mean_test_f1_weighted,std_test_f1_weighted,mean_train_accuracy,mean_train_top_1_accuracy,mean_train_top_5_accuracy
1.1,Scenario 1.1,"Same platform, same topic",RandomForest,42,9,0.8561020036429874,0.052980107731325984,0.8524590163934426,0.04414069514044676,0.9890710382513661,0.011591914445681119,0.8213114754098361,0.06311652825552692,1.0,1.0,1.0
1.1,Scenario 1.1,"Same platform, same topic",RandomForest,123,9,0.8269581056466302,0.04188445277802153,0.8306010928961749,0.03572867986508748,0.9872495446265938,0.013661202185792365,0.7895567698846386,0.051498524595443664,1.0,1.0,1.0
1.1,Scenario 1.1,"Same platform, same topic",RandomForest,456,9,0.8342440801457196,0.05015726707837657,0.8360655737704917,0.030669322842409336,0.9817850637522769,0.01281534360607496,0.7953248330297511,0.05914723852244812,1.0,1.0,1.0
1.2,Scenario 1.2,"Same platform, same topic",RandomForest,42,9,0.8524590163934427,0.02955369897921302,0.843351548269581,0.04497835418894626,0.9781420765027323,0.008196721311475419,0.8224043715846994,0.03611831712131772,1.0,1.0,1.0
1.2,Scenario 1.2,"Same platform, same topic",RandomForest,123,9,0.8378870673952642,0.045963398473389955,0.8342440801457196,0.050157267078376574,0.9744990892531875,0.016619569754913185,0.8008500303582271,0.05705812425383274,1.0,1.0,1.0
1.2,Scenario 1.2,"Same platform, same topic",RandomForest,456,9,0.8306010928961749,0.030669322842409343,0.8287795992714025,0.041074580268778436,0.9854280510018215,0.015212470936694065,0.7939283545840923,0.031042441373803513,1.0,1.0,1.0
2.1,Scenario 2.1,"Cross platform, same topic (1-1) (controlled for dataset size)",RandomForest,42,18,0.8533697632058287,0.0433628467206343,0.8624772313296903,0.03860560589822235,0.9908925318761383,0.01009342235172459,0.8172434729811777,0.04869477882102457,1.0,1.0,1.0
2.1,Scenario 2.1,"Cross platform, same topic (1-1) (controlled for dataset size)",RandomForest,123,18,0.8397085610200365,0.04723090965529636,0.8406193078324227,0.04200484825398947,0.9927140255009108,0.01009342235172459,0.8049483910139649,0.053795545296578574,1.0,1.0,1.0
2.1,Scenario 2.1,"Cross platform, same topic (1-1) (controlled for dataset size)",RandomForest,456,18,0.8187613843351548,0.042627483707569594,0.8224043715846995,0.045071007697403256,0.9863387978142075,0.011591914445681119,0.777005811432041,0.04947723543620144,1.0,1.0,1.0
2.2,Scenario 2.2,"Cross platform, same topic (1-1) (controlled for dataset size)",RandomForest,42,18,0.8296903460837888,0.03472519717175629,0.8251366120218578,0.037298128458657126,0.9817850637522767,0.017682124769495444,0.7936854887674559,0.038764624782678926,1.0,1.0,1.0
2.2,Scenario 2.2,"Cross platform, same topic (1-1) (controlled for dataset size)",RandomForest,123,18,0.8096539162112932,0.06137443044119376,0.8178506375227687,0.05758713128012521,0.9781420765027321,0.020273670242650577,0.7704614450516091,0.06582414224367406,1.0,1.0,1.0
2.2,Scenario 2.2,"Cross platform, same topic (1-1) (controlled for dataset size)",RandomForest,456,18,0.8224043715846996,0.05516467593042845,0.819672131147541,0.059772293991559255,0.9772313296903461,0.013931747304898335,0.7862477231329691,0.06339442047090223,1.0,1.0,1.0
3.1,Scenario 3.1,"Cross platform, same topic (1-1)",RandomForest,42,18,0.9663023679417121,0.01684266121029774,0.9663023679417121,0.01684266121029774,1.0,0.0,0.9623948304276174,0.01929601513137453,1.0,1.0,1.0
3.1,Scenario 3.1,"Cross platform, same topic (1-1)",RandomForest,123,18,0.97040072859745,0.017588749051996342,0.97040072859745,0.017588749051996342,0.9981785063752278,0.004494417053715711,0.9656431607251279,0.020680522916834563,1.0,1.0,1.0
3.1,Scenario 3.1,"Cross platform, same topic (1-1)",RandomForest,456,18,0.9685792349726776,0.01805687879563548,0.9685792349726776,0.01805687879563548,0.999089253187614,0.0026506625687030957,0.9639691213461705,0.02056275756208285,1.0,1.0,1.0
3.2,Scenario 3.2,"Cross platform, same topic (2-1)",RandomForest,42,9,0.9963570127504554,0.005954779977514588,0.9963570127504554,0.005954779977514588,1.0,0.0,0.9955069823922282,0.007889401758727741,1.0,1.0,1.0
3.2,Scenario 3.2,"Cross platform, same topic (2-1)",RandomForest,123,9,0.9981785063752278,0.00361441435937786,0.9981785063752278,0.00361441435937786,1.0,0.0,0.9980570734669095,0.0038553753166696977,1.0,1.0,1.0
3.2,Scenario 3.2,"Cross platform, same topic (2-1)",RandomForest,456,9,0.9945355191256832,0.005795957222840559,0.9945355191256832,0.005795957222840559,1.0,0.0,0.9941712204007287,0.006182354371029926,1.0,1.0,1.0
4.1,Scenario 4.1,"Cross platform, cross topic (1-1)",RandomForest,42,36,0.9524134790528233,0.021626162016726635,0.9524134790528233,0.021626162016726635,0.994990892531876,0.006281606924055855,0.9456067308526325,0.023509080807355916,1.0,1.0,1.0
4.1,Scenario 4.1,"Cross platform, cross topic (1-1)",RandomForest,123,36,0.9565118397085608,0.022410796664441998,0.9565118397085608,0.022410796664441998,0.9947632058287795,0.0065435386115806045,0.9508066614623991,0.02454605449422717,1.0,1.0,1.0
