scenario_id,scenario_name,scenario_description,model_name,random_seed,num_sub_experiments,mean_test_accuracy,std_test_accuracy,mean_test_top_1_accuracy,std_test_top_1_accuracy,mean_test_top_5_accuracy,std_test_top_5_accuracy,mean_test_f1_weighted,std_test_f1_weighted,mean_train_accuracy,mean_train_top_1_accuracy,mean_train_top_5_accuracy
4.1,Scenario 4.1,"Cross platform, cross topic (1-1)",RandomForest,456,36,0.959927140255009,0.019473802930279182,0.959927140255009,0.019473802930279182,0.9945355191256829,0.006498565304689285,0.9540231879029692,0.021445840167250714,1.0,1.0,1.0
4.2,Scenario 4.2,"Cross platform, cross topic (2-1)",RandomForest,42,18,0.9872495446265938,0.012642854670072104,0.9872495446265938,0.012642854670072104,1.0,0.0,0.9853673345476623,0.014235508572307296,1.0,1.0,1.0
4.2,Scenario 4.2,"Cross platform, cross topic (2-1)",RandomForest,123,18,0.9836065573770492,0.013483251161147134,0.9836065573770492,0.013483251161147134,1.0,0.0,0.9819064966605949,0.014604993070618206,1.0,1.0,1.0
4.2,Scenario 4.2,"Cross platform, cross topic (2-1)",RandomForest,456,18,0.987704918032787,0.01201052912929717,0.987704918032787,0.01201052912929717,0.9995446265938069,0.0019319857409468531,0.9867334547662416,0.013141253571129672,1.0,1.0,1.0
5.1,Scenario 5.1,"Same platform, cross topic",RandomForest,42,18,0.8306010928961748,0.04131974018443306,0.831511839708561,0.04348419820804919,0.9708561020036428,0.01826843103617207,0.7909228901032179,0.04758036730493247,1.0,1.0,1.0
5.1,Scenario 5.1,"Same platform, cross topic",RandomForest,123,18,0.8160291438979964,0.030568931990919302,0.8123861566484519,0.03944948250315706,0.9735883424408013,0.016998374795394757,0.7777647671090294,0.033775828441366736,1.0,1.0,1.0
5.1,Scenario 5.1,"Same platform, cross topic",RandomForest,456,18,0.819672131147541,0.03771958961544444,0.8151183970856102,0.0359186784731125,0.9635701275045536,0.02670468542020394,0.7799332119004249,0.04060872391671042,1.0,1.0,1.0
5.2,Scenario 5.2,"Same platform, cross topic",RandomForest,42,18,0.7978142076502732,0.05870484572892738,0.7969034608378871,0.055132825652986724,0.959927140255009,0.020446215228272894,0.7564532916991933,0.06298133501559673,1.0,1.0,1.0
5.2,Scenario 5.2,"Same platform, cross topic",RandomForest,123,18,0.8169398907103826,0.04328175670723291,0.8132969034608378,0.04360521198064049,0.9690346083788705,0.02169660820403241,0.7744687310261079,0.04798790347250818,1.0,1.0,1.0
5.2,Scenario 5.2,"Same platform, cross topic",RandomForest,456,18,0.8005464480874317,0.044363967658238926,0.808743169398907,0.04533330481598133,0.9608378870673953,0.02114308437480192,0.7575461878740567,0.04919561211850298,1.0,1.0,1.0
