Scenario Group	Scenario	Train	Train samples/user	Test	Test samples/user	Notes	k=1	k=2	k=3	k=4	k=5	Best Model
		[Pi, Vj, Sk] i={F, T}, j ={3}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=244, test=122	0.9781	0.9973	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I, T}, j ={1}, k={1 ,2}	4	[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	train=244, test=122	0.9891	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I, T}, j ={2}, k={1 ,2}	4	[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	train=244, test=122	0.9781	0.9891	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I, T}, j ={3}, k={1 ,2}	4	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	train=244, test=122	0.9918	0.9918	0.9918	0.9973	1.0000	
		[Pi, Vj, Sk] i={I, T}, j ={1}, k={1 ,2}	4	[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	train=244, test=122	0.9891	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I, T}, j ={2}, k={1 ,2}	4	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	train=244, test=122	0.9891	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I, T}, j ={3}, k={1 ,2}	4	[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	train=244, test=122	0.9617	0.9918	0.9973	1.0000	1.0000	
		mean					0.9862	0.9956	0.9986	0.9994	0.9998	
		std					0.0112	0.0064	0.0027	0.0015	0.0006	
												
Same platform, cross topic (S1→S2)	Scenario 5.1	[Pi, Vj, Sk] i={F}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={2}, k={2}	1	train=61, test=61	0.7869	0.9235	0.9508	0.9836	0.9891	RandomForest
		[Pi, Vj, Sk] i={F}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={3}, k={2}	1	train=61, test=61	0.8306	0.9290	0.9563	0.9672	0.9781	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={1}, k={2}	1	train=61, test=61	0.8415	0.9344	0.9781	0.9781	0.9781	
		[Pi, Vj, Sk] i={F}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={1}, k={2}	1	train=61, test=61	0.8142	0.9126	0.9508	0.9727	0.9836	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={2}, k={2}	1	train=61, test=61	0.7760	0.9126	0.9290	0.9454	0.9454	
		[Pi, Vj, Sk] i={F}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={3}, k={2}	1	train=61, test=61	0.7814	0.8470	0.9071	0.9508	0.9617	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={2}, k={2}	1	train=61, test=61	0.8087	0.9290	0.9563	0.9672	0.9672	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={3}, k={2}	1	train=61, test=61	0.7978	0.8962	0.9399	0.9563	0.9563	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={1}, k={2}	1	train=61, test=61	0.8251	0.9126	0.9508	0.9617	0.9727	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={1}, k={2}	1	train=61, test=61	0.8142	0.8962	0.9508	0.9672	0.9781	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={2}, k={2}	1	train=61, test=61	0.8197	0.9071	0.9180	0.9399	0.9563	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={3}, k={2}	1	train=61, test=61	0.8306	0.9126	0.9454	0.9508	0.9672	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={2}, k={2}	1	train=61, test=61	0.8470	0.9071	0.9344	0.9508	0.9563	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={3}, k={2}	1	train=61, test=61	0.8251	0.8962	0.9454	0.9508	0.9563	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={1}, k={2}	1	train=61, test=61	0.8251	0.9016	0.9180	0.9563	0.9727	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={1}, k={2}	1	train=61, test=61	0.8743	0.9454	0.9836	0.9945	1.0000	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={2}, k={2}	1	train=61, test=61	0.8197	0.9126	0.9290	0.9563	0.9727	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={3}, k={2}	1	train=61, test=61	0.8361	0.9180	0.9454	0.9508	0.9563	
		mean					0.8197	0.9107	0.9438	0.9611	0.9693	
		std					0.0241	0.0210	0.0196	0.0143	0.0139	
												
Same platform, cross topic (S2→S1)	Scenario 5.2	[Pi, Vj, Sk] i={F}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={1}, k={1}	1	train=61, test=61	0.7377	0.8470	0.9016	0.9399	0.9672	RandomForest
		[Pi, Vj, Sk] i={F}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={2}, k={1}	1	train=61, test=61	0.8033	0.8743	0.9399	0.9617	0.9727	
		[Pi, Vj, Sk] i={F}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={3}, k={1}	1	train=61, test=61	0.7705	0.8525	0.9235	0.9399	0.9563	
		[Pi, Vj, Sk] i={F}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={2}, k={1}	1	train=61, test=61	0.8197	0.9071	0.9508	0.9563	0.9672	
		[Pi, Vj, Sk] i={F}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={3}, k={1}	1	train=61, test=61	0.7432	0.8743	0.9180	0.9235	0.9563	
		[Pi, Vj, Sk] i={F}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={1}, k={1}	1	train=61, test=61	0.7541	0.8470	0.8907	0.9016	0.9180	
		[Pi, Vj, Sk] i={I}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={1}, k={1}	1	train=61, test=61	0.7760	0.8907	0.9290	0.9617	0.9617	
		[Pi, Vj, Sk] i={I}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={2}, k={1}	1	train=61, test=61	0.8634	0.9235	0.9454	0.9727	0.9727	
		[Pi, Vj, Sk] i={I}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={3}, k={1}	1	train=61, test=61	0.8634	0.9180	0.9454	0.9563	0.9672	
		[Pi, Vj, Sk] i={I}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={2}, k={1}	1	train=61, test=61	0.8306	0.9126	0.9563	0.9672	0.9727	
		[Pi, Vj, Sk] i={I}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={3}, k={1}	1	train=61, test=61	0.8579	0.9399	0.9563	0.9672	0.9727	
		[Pi, Vj, Sk] i={I}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={1}, k={1}	1	train=61, test=61	0.7978	0.9016	0.9563	0.9617	0.9672	
		[Pi, Vj, Sk] i={T}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	train=61, test=61	0.8197	0.8907	0.9126	0.9344	0.9454	
		[Pi, Vj, Sk] i={T}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={2}, k={1}	1	train=61, test=61	0.8033	0.9071	0.9508	0.9672	0.9727	
		[Pi, Vj, Sk] i={T}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={3}, k={1}	1	train=61, test=61	0.7978	0.8962	0.9508	0.9727	0.9727	
		[Pi, Vj, Sk] i={T}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={2}, k={1}	1	train=61, test=61	0.8197	0.9016	0.9344	0.9617	0.9617	
		[Pi, Vj, Sk] i={T}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={3}, k={1}	1	train=61, test=61	0.8087	0.8962	0.9180	0.9454	0.9563	
		[Pi, Vj, Sk] i={T}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	train=61, test=61	0.8470	0.9235	0.9672	0.9781	0.9781	
		mean					0.8063	0.8947	0.9359	0.9539	0.9633	
		std					0.0389	0.0268	0.0213	0.0197	0.0140	
												
