Scenario Group	Scenario	Train	Train samples/user	Test	Test samples/user	Notes	k=1	k=2	k=3	k=4	k=5	Best Model
		[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={1}, k={2}	1	train=61, test=61	0.8634	0.9290	0.9672	0.9781	0.9891	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={2}, k={2}	1	train=61, test=61	0.8798	0.9563	0.9672	0.9727	0.9781	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={3}, k={2}	1	train=61, test=61	0.8306	0.9235	0.9563	0.9891	0.9891	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={1}, k={2}	1	train=61, test=61	0.8251	0.9399	0.9781	0.9836	0.9945	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={2}, k={2}	1	train=61, test=61	0.8142	0.9290	0.9617	0.9781	0.9945	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={3}, k={2}	1	train=61, test=61	0.8251	0.9235	0.9727	0.9945	0.9945	
		mean					0.8418	0.9271	0.9624	0.9812	0.9900	
		std					0.0328	0.0232	0.0115	0.0068	0.0060	
												
Cross platform, same topic	Scenario 2.2	[Pi, Vj, Sk] i={F}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={1}, k={1}	1	train=61, test=61	0.8525	0.9290	0.9672	0.9781	0.9891	RandomForest
		[Pi, Vj, Sk] i={F}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={2}, k={1}	1	train=61, test=61	0.8579	0.9290	0.9454	0.9617	0.9617	
		[Pi, Vj, Sk] i={F}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={3}, k={1}	1	train=61, test=61	0.8962	0.9508	0.9727	0.9836	0.9836	
		[Pi, Vj, Sk] i={F}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	train=61, test=61	0.8415	0.9235	0.9563	0.9672	0.9781	
		[Pi, Vj, Sk] i={F}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={2}, k={1}	1	train=61, test=61	0.8142	0.9235	0.9508	0.9836	0.9945	
		[Pi, Vj, Sk] i={F}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={3}, k={1}	1	train=61, test=61	0.8033	0.8743	0.9290	0.9617	1.0000	
		[Pi, Vj, Sk] i={I}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	train=61, test=61	0.8306	0.9180	0.9617	0.9727	0.9781	
		[Pi, Vj, Sk] i={I}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={2}, k={1}	1	train=61, test=61	0.8470	0.9454	0.9781	0.9781	0.9891	
		[Pi, Vj, Sk] i={I}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={3}, k={1}	1	train=61, test=61	0.8033	0.9235	0.9563	0.9672	0.9672	
		[Pi, Vj, Sk] i={I}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={1}, k={1}	1	train=61, test=61	0.7104	0.8087	0.9071	0.9454	0.9727	
		[Pi, Vj, Sk] i={I}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={2}, k={1}	1	train=61, test=61	0.8197	0.9180	0.9617	0.9781	1.0000	
		[Pi, Vj, Sk] i={I}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={3}, k={1}	1	train=61, test=61	0.7322	0.8798	0.9290	0.9563	0.9617	
		[Pi, Vj, Sk] i={T}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={1}, k={1}	1	train=61, test=61	0.8142	0.9344	0.9563	0.9836	0.9836	
		[Pi, Vj, Sk] i={T}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={2}, k={1}	1	train=61, test=61	0.8525	0.9508	0.9672	0.9727	0.9727	
		[Pi, Vj, Sk] i={T}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={3}, k={1}	1	train=61, test=61	0.8142	0.9126	0.9508	0.9617	0.9617	
		[Pi, Vj, Sk] i={T}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={1}, k={1}	1	train=61, test=61	0.8306	0.9180	0.9617	0.9672	0.9781	
		[Pi, Vj, Sk] i={T}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={2}, k={1}	1	train=61, test=61	0.8142	0.9235	0.9399	0.9617	0.9672	
		[Pi, Vj, Sk] i={T}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={3}, k={1}	1	train=61, test=61	0.8415	0.9344	0.9563	0.9781	0.9836	
		mean					0.8209	0.9165	0.9526	0.9699	0.9791	
		std					0.0431	0.0335	0.0175	0.0106	0.0125	
												
Cross platform, same topic (1→2)	Scenario 3.1	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9699	0.9809	0.9945	0.9973	1.0000	RandomForest
		[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9563	0.9945	1.0000	1.0000	1.0000	
