Scenario Group	Scenario	Train	Train samples/user	Test	Test samples/user	Notes	k=1	k=2	k=3	k=4	k=5	Best Model
Same platform, same topic	Scenario 1.1	[Pi, Vj, Sk] i={F}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={1}, k={2}	1	train=61, test=61	0.7978	0.9016	0.9617	0.9727	0.9727	RandomForest
		[Pi, Vj, Sk] i={F}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={2}, k={2}	1	train=61, test=61	0.8306	0.9235	0.9617	0.9836	1.0000	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={3}, k={2}	1	train=61, test=61	0.8634	0.9344	0.9617	0.9672	0.9891	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={1}, k={2}	1	train=61, test=61	0.8197	0.9180	0.9617	0.9781	0.9781	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={2}, k={2}	1	train=61, test=61	0.8251	0.9071	0.9563	0.9672	0.9836	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={3}, k={2}	1	train=61, test=61	0.8470	0.9454	0.9781	0.9891	0.9945	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={1}, k={2}	1	train=61, test=61	0.8251	0.9071	0.9454	0.9727	0.9891	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={2}, k={2}	1	train=61, test=61	0.8415	0.9126	0.9508	0.9781	0.9836	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={3}, k={2}	1	train=61, test=61	0.8033	0.9016	0.9563	0.9727	0.9727	
		mean					0.8282	0.9168	0.9593	0.9757	0.9848	
		std					0.0206	0.0152	0.0091	0.0073	0.0094	
												
Same platform, same topic	Scenario 1.2	[Pi, Vj, Sk] i={F}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={1}, k={1}	1	train=61, test=61	0.8142	0.9235	0.9563	0.9672	0.9781	RandomForest
		[Pi, Vj, Sk] i={F}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={2}, k={1}	1	train=61, test=61	0.8634	0.9454	0.9727	0.9891	0.9945	
		[Pi, Vj, Sk] i={F}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={3}, k={1}	1	train=61, test=61	0.8743	0.9399	0.9617	0.9727	0.9727	
		[Pi, Vj, Sk] i={I}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={1}, k={1}	1	train=61, test=61	0.7869	0.8798	0.8962	0.9563	0.9672	
		[Pi, Vj, Sk] i={I}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={2}, k={1}	1	train=61, test=61	0.8470	0.9180	0.9290	0.9399	0.9727	
		[Pi, Vj, Sk] i={I}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={3}, k={1}	1	train=61, test=61	0.8579	0.9399	0.9617	0.9672	0.9672	
		[Pi, Vj, Sk] i={T}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	train=61, test=61	0.8743	0.9508	0.9891	0.9945	0.9945	
		[Pi, Vj, Sk] i={T}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={2}, k={1}	1	train=61, test=61	0.8251	0.9071	0.9563	0.9727	0.9781	
		[Pi, Vj, Sk] i={T}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={3}, k={1}	1	train=61, test=61	0.8251	0.9126	0.9344	0.9399	0.9508	
		mean					0.8409	0.9241	0.9508	0.9666	0.9751	
		std					0.0300	0.0226	0.0273	0.0190	0.0137	
												
Cross platform, same topic	Scenario 2.1	[Pi, Vj, Sk] i={F}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={1}, k={2}	1	train=61, test=61	0.7705	0.9016	0.9508	0.9727	0.9891	RandomForest
		[Pi, Vj, Sk] i={F}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={2}, k={2}	1	train=61, test=61	0.8689	0.9235	0.9617	0.9672	0.9727	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={3}, k={2}	1	train=61, test=61	0.8361	0.9344	0.9672	0.9727	0.9891	
		[Pi, Vj, Sk] i={F}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={1}, k={2}	1	train=61, test=61	0.8306	0.9399	0.9617	0.9836	0.9945	
		[Pi, Vj, Sk] i={F}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={2}, k={2}	1	train=61, test=61	0.8142	0.9290	0.9399	0.9563	0.9727	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={3}, k={2}	1	train=61, test=61	0.8798	0.9344	0.9672	0.9781	0.9836	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={1}, k={2}	1	train=61, test=61	0.8525	0.9399	0.9836	0.9891	0.9945	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={2}, k={2}	1	train=61, test=61	0.8251	0.8852	0.9180	0.9508	0.9891	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={3}, k={2}	1	train=61, test=61	0.8634	0.9399	0.9617	0.9727	0.9781	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={1}, k={2}	1	train=61, test=61	0.7596	0.8962	0.9399	0.9617	0.9781	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={2}, k={2}	1	train=61, test=61	0.7923	0.9290	0.9508	0.9672	0.9672	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={3}, k={2}	1	train=61, test=61	0.8251	0.9180	0.9672	0.9891	0.9945	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={1}, k={2}	1	train=61, test=61	0.8142	0.9016	0.9508	0.9891	0.9891	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={2}, k={2}	1	train=61, test=61	0.8306	0.9344	0.9617	0.9781	0.9891	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={3}, k={2}	1	train=61, test=61	0.7705	0.8962	0.9508	0.9727	0.9836	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={1}, k={2}	1	train=61, test=61	0.8415	0.9290	0.9727	0.9891	0.9891	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={2}, k={2}	1	train=61, test=61	0.8361	0.9290	0.9781	0.9836	1.0000	
