Scenario Group	Scenario	Train	Train samples/user	Test	Test samples/user	Notes	k=1	k=2	k=3	k=4	k=5	Best Model
		[Pi, Vj, Sk] i={T}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={3}, k={2}	1	train=61, test=61	0.8470	0.9344	0.9727	0.9781	0.9891	
		mean					0.8254	0.9220	0.9587	0.9751	0.9857	
		std					0.0341	0.0177	0.0158	0.0114	0.0088	
												
Cross platform, same topic	Scenario 2.2	[Pi, Vj, Sk] i={F}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={1}, k={1}	1	train=61, test=61	0.8525	0.8962	0.9454	0.9672	0.9836	RandomForest
		[Pi, Vj, Sk] i={F}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={2}, k={1}	1	train=61, test=61	0.8361	0.8852	0.9290	0.9563	0.9617	
		[Pi, Vj, Sk] i={F}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={3}, k={1}	1	train=61, test=61	0.8689	0.9672	0.9891	1.0000	1.0000	
		[Pi, Vj, Sk] i={F}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	train=61, test=61	0.8251	0.9235	0.9563	0.9672	0.9836	
		[Pi, Vj, Sk] i={F}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={2}, k={1}	1	train=61, test=61	0.7978	0.9126	0.9508	0.9672	0.9781	
		[Pi, Vj, Sk] i={F}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={3}, k={1}	1	train=61, test=61	0.8087	0.9180	0.9672	0.9891	0.9891	
		[Pi, Vj, Sk] i={I}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	train=61, test=61	0.7541	0.8907	0.9454	0.9672	0.9727	
		[Pi, Vj, Sk] i={I}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={2}, k={1}	1	train=61, test=61	0.8689	0.9235	0.9563	0.9727	0.9727	
		[Pi, Vj, Sk] i={I}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={3}, k={1}	1	train=61, test=61	0.7923	0.9016	0.9727	0.9781	0.9891	
		[Pi, Vj, Sk] i={I}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={1}, k={1}	1	train=61, test=61	0.6940	0.8470	0.9016	0.9454	0.9672	
		[Pi, Vj, Sk] i={I}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={2}, k={1}	1	train=61, test=61	0.8689	0.9454	0.9727	0.9781	0.9781	
		[Pi, Vj, Sk] i={I}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={3}, k={1}	1	train=61, test=61	0.7650	0.9016	0.9508	0.9672	0.9781	
		[Pi, Vj, Sk] i={T}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={1}, k={1}	1	train=61, test=61	0.8525	0.9344	0.9563	0.9727	0.9836	
		[Pi, Vj, Sk] i={T}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={2}, k={1}	1	train=61, test=61	0.8415	0.9454	0.9727	0.9781	0.9781	
		[Pi, Vj, Sk] i={T}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={3}, k={1}	1	train=61, test=61	0.8142	0.9235	0.9617	0.9727	0.9891	
		[Pi, Vj, Sk] i={T}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={1}, k={1}	1	train=61, test=61	0.8579	0.9235	0.9617	0.9836	0.9891	
		[Pi, Vj, Sk] i={T}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={2}, k={1}	1	train=61, test=61	0.8470	0.9290	0.9617	0.9727	0.9836	
		[Pi, Vj, Sk] i={T}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={3}, k={1}	1	train=61, test=61	0.8798	0.9290	0.9617	0.9727	0.9727	
		mean					0.8236	0.9165	0.9563	0.9727	0.9806	
		std					0.0486	0.0270	0.0190	0.0119	0.0092	
												
Cross platform, same topic (1→2)	Scenario 3.1	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9590	0.9781	0.9891	1.0000	1.0000	RandomForest
		[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9563	0.9918	0.9973	0.9973	1.0000	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9617	0.9918	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9781	0.9945	0.9973	1.0000	1.0000	
		[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9536	0.9754	0.9918	0.9973	0.9973	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9235	0.9590	0.9836	0.9945	0.9973	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=122, test=122	1.0000	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9754	0.9863	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9809	0.9973	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9809	0.9891	0.9918	0.9973	1.0000	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9891	0.9973	0.9973	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9645	0.9836	0.9973	1.0000	1.0000	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9754	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9481	0.9754	0.9836	0.9863	0.9973	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9617	0.9863	0.9973	0.9973	0.9973	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9672	0.9945	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9672	0.9809	0.9945	1.0000	1.0000	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9754	0.9836	0.9918	1.0000	1.0000	
		mean					0.9677	0.9869	0.9951	0.9983	0.9994	
		std					0.0171	0.0106	0.0054	0.0034	0.0012	
												
Cross platform, same topic (2→1)	Scenario 3.2	[Pi, Vj, Sk] i={F, I}, j ={1}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=244, test=122	1.0000	1.0000	1.0000	1.0000	1.0000	RandomForest
		[Pi, Vj, Sk] i={F, I}, j ={2}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=244, test=122	0.9918	0.9945	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F, I}, j ={3}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=244, test=122	1.0000	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I, T}, j ={1}, k={1 ,2}	4	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	train=244, test=122	1.0000	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I, T}, j ={2}, k={1 ,2}	4	[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	train=244, test=122	0.9945	0.9973	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I, T}, j ={3}, k={1 ,2}	4	[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	train=244, test=122	1.0000	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={T, F}, j ={1}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=244, test=122	0.9973	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={T, F}, j ={2}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=244, test=122	0.9891	0.9973	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={T, F}, j ={3}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=244, test=122	0.9973	1.0000	1.0000	1.0000	1.0000	
		mean					0.9967	0.9988	1.0000	1.0000	1.0000	
		std					0.0040	0.0020	0.0000	0.0000	0.0000	
												
Cross platform, cross topic (1→2)	Scenario 4.1	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9617	0.9836	0.9836	0.9836	0.9863	RandomForest
		[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9645	0.9754	0.9781	0.9836	0.9891	
		[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9727	0.9836	0.9836	0.9836	0.9836	
		[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9699	0.9809	0.9836	0.9836	0.9836	
		[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9590	0.9863	0.9918	0.9973	1.0000	
		[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9399	0.9727	0.9863	0.9863	0.9973	
		[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9727	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9481	0.9754	0.9836	0.9891	0.9918	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9481	0.9754	0.9836	0.9945	0.9973	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9317	0.9590	0.9727	0.9781	0.9863	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9454	0.9781	0.9863	0.9918	0.9945	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9317	0.9590	0.9699	0.9754	0.9754	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9781	0.9973	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9754	0.9891	0.9973	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9672	0.9863	0.9945	0.9945	0.9973	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9699	0.9918	0.9945	0.9973	1.0000	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9699	0.9918	0.9918	0.9918	0.9918	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9508	0.9918	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9809	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9645	0.9863	0.9891	0.9891	0.9918	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9645	0.9918	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9508	0.9781	0.9809	0.9918	0.9918	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9617	0.9699	0.9781	0.9891	0.9891	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9536	0.9809	0.9836	0.9891	0.9945	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9235	0.9836	0.9973	1.0000	1.0000	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9044	0.9617	0.9754	0.9918	1.0000	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9563	0.9863	0.9891	0.9945	0.9945	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9372	0.9781	0.9891	0.9973	1.0000	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9454	0.9781	0.9891	0.9918	0.9973	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9317	0.9727	0.9781	0.9836	0.9918	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9508	0.9645	0.9836	0.9945	1.0000	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9344	0.9727	0.9836	0.9863	0.9945	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9781	0.9836	0.9918	0.9918	0.9918	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9645	0.9781	0.9891	0.9918	0.9973	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9645	0.9727	0.9863	0.9918	1.0000	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9590	0.9754	0.9863	0.9891	0.9945	
		mean					0.9551	0.9803	0.9876	0.9915	0.9945	
		std					0.0175	0.0104	0.0080	0.0065	0.0060	
												
Cross platform, cross topic (2→1)	Scenario 4.2	[Pi, Vj, Sk] i={F, I}, j ={1}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=244, test=122	0.9836	0.9945	1.0000	1.0000	1.0000	RandomForest
		[Pi, Vj, Sk] i={F, I}, j ={2}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=244, test=122	0.9891	0.9918	0.9918	0.9945	0.9973	
		[Pi, Vj, Sk] i={F, I}, j ={3}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=244, test=122	1.0000	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F, I}, j ={1}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=244, test=122	1.0000	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F, I}, j ={2}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=244, test=122	1.0000	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F, I}, j ={3}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=244, test=122	0.9754	0.9891	0.9945	0.9973	1.0000	
		[Pi, Vj, Sk] i={F, T}, j ={1}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=244, test=122	0.9781	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F, T}, j ={2}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=244, test=122	0.9727	0.9863	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F, T}, j ={3}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=244, test=122	1.0000	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F, T}, j ={1}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=244, test=122	0.9918	0.9973	0.9973	1.0000	1.0000	
		[Pi, Vj, Sk] i={F, T}, j ={2}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=244, test=122	0.9891	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F, T}, j ={3}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=244, test=122	0.9809	0.9973	0.9973	1.0000	1.0000	
