,user_id,platform_id,session_id,Key.backspaceKey.backspace_median,Key.backspaceKey.backspace_mean,Key.backspaceKey.backspace_stdev,Key.backspaceKey.backspace_q1,Key.backspaceKey.backspace_q3,eKey.space_median,eKey.space_mean,eKey.space_stdev,eKey.space_q1,eKey.space_q3,Key.spacet_median,Key.spacet_mean,Key.spacet_stdev,Key.spacet_q1,Key.spacet_q3,tKey.space_median,tKey.space_mean,tKey.space_stdev,tKey.space_q1,tKey.space_q3,sKey.space_median,sKey.space_mean,sKey.space_stdev,sKey.space_q1,sKey.space_q3,Key.spacea_median,Key.spacea_mean,Key.spacea_stdev,Key.spacea_q1,Key.spacea_q3,th_median,th_mean,th_stdev,th_q1,th_q3,nKey.space_median,nKey.space_mean,nKey.space_stdev,nKey.space_q1,nKey.space_q3,Key.spacei_median,Key.spacei_mean,Key.spacei_stdev,Key.spacei_q1,Key.spacei_q3,Key.spaces_median,Key.spaces_mean,Key.spaces_stdev,Key.spaces_q1,Key.spaces_q3
0,1029,1,[1],212892000.0,380896825.75757575,439925437.103516,161001250.0,343081000.0,126088500.0,132279220.0,75479461.56956606,92378000.0,193209000.0,226593500.0,441461305.5555556,501010787.9898795,140115750.0,577997250.0,120555000.0,123625900.0,69167098.53841877,76668250.0,179834250.0,117126000.0,115024562.5,70014996.92563082,73182000.0,164890250.0,212704500.0,264744363.63636363,216032657.44538075,140876000.0,289248000.0,103175000.0,107777772.72727273,58121824.93336484,75429250.0,154075000.0,181974500.0,176478166.66666666,75989892.67969933,125192000.0,233914250.0,395430500.0,571221357.1428572,463520159.54600185,222702250.0,955693250.0,410805500.0,467692000.0,278724338.1941542,258838750.0,576320500.0
1,1029,1,[2],208602000.0,433023500.0,508635911.2312559,159917250.0,285348500.0,128888000.0,132926934.7826087,70056066.13709082,86142750.0,185161750.0,190358000.0,287513018.5185185,348852175.63436955,113517500.0,298517000.0,128578500.0,136227625.0,74987349.4688229,78018250.0,192208000.0,125314000.0,126992309.52380952,73559335.07768312,81733500.0,187374250.0,244180000.0,312055150.0,252501845.51974568,146943750.0,356015250.0,109866500.0,112043700.0,55043310.96700124,68396500.0,159931750.0,152198500.0,156739928.57142857,69573162.50226323,120145750.0,210832750.0,316619500.0,397834500.0,278745342.8538214,186385750.0,516460750.0,323193500.0,494794125.0,494808491.4416648,201623000.0,513197250.0
2,1029,2,[1],223940000.0,235822000.0,102585641.536718,158691250.0,314690250.0,138711000.0,144305200.0,75939725.69189331,91971500.0,211101750.0,244076000.0,357829266.6666667,293615054.79231745,156353750.0,394181250.0,187885000.0,204385227.27272728,126566374.86923319,116929250.0,252673500.0,124792500.0,132885250.0,76166960.78968558,89274000.0,182056250.0,201730000.0,253979700.0,183605398.1006822,109485500.0,315011000.0,142293500.0,146359409.0909091,73492347.84202124,99297250.0,199473500.0,123418000.0,124796125.0,61209367.25481137,81279500.0,172360750.0,169648500.0,175772250.0,61690645.38232276,144964250.0,218283500.0,219506500.0,262943375.0,179942437.4219694,158389250.0,291970750.0
3,1029,2,[2],223940000.0,235822000.0,102585641.536718,158691250.0,314690250.0,138711000.0,144305200.0,75939725.69189331,91971500.0,211101750.0,244076000.0,357829266.6666667,293615054.79231745,156353750.0,394181250.0,187885000.0,204385227.27272728,126566374.86923319,116929250.0,252673500.0,124792500.0,132885250.0,76166960.78968558,89274000.0,182056250.0,201730000.0,253979700.0,183605398.1006822,109485500.0,315011000.0,142293500.0,146359409.0909091,73492347.84202124,99297250.0,199473500.0,123418000.0,124796125.0,61209367.25481137,81279500.0,172360750.0,169648500.0,175772250.0,61690645.38232276,144964250.0,218283500.0,219506500.0,262943375.0,179942437.4219694,158389250.0,291970750.0
4,1029,3,[1],185737000.0,266670166.66666666,163982506.0831355,144640500.0,429523000.0,145383500.0,143153650.0,84148838.07651475,88905750.0,192727000.0,253390000.0,345692941.1764706,250760542.59145567,157289750.0,519886750.0,145038000.0,159478388.8888889,84570732.38691904,110890250.0,214795250.0,115508000.0,118134625.0,76036798.00339684,78066000.0,182908750.0,198599500.0,196502333.33333334,97700477.55455902,118446000.0,271679250.0,150047500.0,186313555.55555555,156010032.7759305,104116750.0,213819000.0,143172500.0,159045142.85714287,88314378.17524162,112346500.0,208670000.0,175900500.0,174011300.0,56107515.71590031,133865500.0,210206000.0,208470000.0,219583214.2857143,88804022.99580687,168356500.0,286707750.0
5,1029,3,[2],185737000.0,266670166.66666666,163982506.0831355,144640500.0,429523000.0,145383500.0,143153650.0,84148838.07651475,88905750.0,192727000.0,253390000.0,345692941.1764706,250760542.59145567,157289750.0,519886750.0,145038000.0,159478388.8888889,84570732.38691904,110890250.0,214795250.0,115508000.0,118134625.0,76036798.00339684,78066000.0,182908750.0,198599500.0,196502333.33333334,97700477.55455902,118446000.0,271679250.0,150047500.0,186313555.55555555,156010032.7759305,104116750.0,213819000.0,143172500.0,159045142.85714287,88314378.17524162,112346500.0,208670000.0,175900500.0,174011300.0,56107515.71590031,133865500.0,210206000.0,208470000.0,219583214.2857143,88804022.99580687,168356500.0,286707750.0
6,1036,1,[1],148817500.0,211324686.56716418,211124777.7455037,129886750.0,208655000.0,74938000.0,80466906.25,45010041.23516452,53863000.0,116073000.0,205915000.0,848303666.6666666,1184699900.6834552,127117000.0,984845000.0,99100500.0,119326250.0,76101135.41260405,70473750.0,159343000.0,89187000.0,91639350.0,48570773.63422885,58145250.0,126893500.0,152644000.0,161178250.0,101553020.36898017,91113000.0,217236750.0,85542500.0,91519250.0,51921064.49590089,57707000.0,131415000.0,159162000.0,158586900.0,42051426.02385798,134278750.0,197600250.0,921287000.0,805993000.0,487406917.0594696,203576500.0,1282349250.0,253181500.0,2245326857.142857,3111025609.742787,156209250.0,7084267000.0
7,1036,1,[2],140079500.0,148127593.75,58143497.466456525,117592750.0,184286250.0,71603000.0,78648125.0,45887658.63412378,51933000.0,116485500.0,244784000.0,436124000.0,516408681.00295746,161504000.0,349220000.0,144692500.0,140553600.0,65578373.65961434,88989500.0,185497750.0,105598500.0,167959200.0,161732936.67450672,70821250.0,156504250.0,492600000.0,682727625.0,610947373.1065012,245588000.0,929683000.0,84025000.0,95319500.0,51605075.78717427,73597750.0,140861000.0,184433000.0,288485800.0,256172345.16582775,144378000.0,240950500.0,764884500.0,688642000.0,422386968.8699767,180433000.0,1114491250.0,250664000.0,464678333.3333333,413265190.5928229,156857750.0,996559500.0
8,1036,2,[1],149688500.0,185014961.53846154,115335445.6531805,133214000.0,205883750.0,124718500.0,249774000.0,298865060.9306338,62664750.0,290004750.0,188009000.0,179580562.5,71894965.13966464,136593500.0,222201250.0,117319500.0,123223909.0909091,58989977.50497275,81984000.0,163679000.0,121547000.0,124905800.0,62804712.89131095,82608500.0,147077750.0,260480000.0,531481812.5,556026626.3440334,151541500.0,655072750.0,86551000.0,89962300.0,50047146.22043898,53662750.0,122745250.0,155433000.0,151906166.66666666,42356821.1081626,115387750.0,175735500.0,719938500.0,720471750.0,93649416.78775954,642256250.0,802242000.0,208802500.0,371890500.0,336731181.01721734,165609000.0,431001250.0
9,1036,2,[2],140870000.0,181149411.7647059,151178555.51676098,120927750.0,186428000.0,123484000.0,127305041.66666667,81406090.88825354,69470000.0,187251250.0,119136000.0,292918333.3333333,305912744.4158801,85508000.0,537039500.0,103680000.0,124075050.0,66054217.594696395,89677500.0,156501000.0,87124000.0,90023062.5,49000480.88535554,53177000.0,131163000.0,212046000.0,232991200.0,108463671.254757,160685250.0,293058000.0,88822000.0,91487187.5,46035328.9214093,67760000.0,125315750.0,163556500.0,161927333.33333334,43480475.259655975,136254500.0,184187250.0,147747000.0,147747000.0,42519798.47670965,119848250.0,175645750.0,389468000.0,457312000.0,216544138.54523975,315317000.0,696298000.0
10,1036,3,[1],142061000.0,145478119.04761904,46006976.66539924,126477500.0,188500750.0,81913500.0,97749642.85714285,69235024.09248324,54716000.0,128775750.0,138772000.0,315418166.6666667,539592912.885183,95534500.0,182895500.0,176701000.0,192664600.0,118491273.97255884,82959000.0,267671250.0,121470500.0,123551333.33333333,49123649.97862254,92800500.0,156380000.0,183619000.0,500127300.0,566209219.2210491,122129000.0,552205000.0,85525500.0,92740428.57142857,50342262.795664586,66638250.0,135718750.0,156042000.0,157485125.0,38354688.70111417,139094750.0,177157250.0,1219387000.0,1219387000.0,49470761.70830605,1200264000.0,1238510000.0,396612500.0,404828000.0,234683194.50218415,179591500.0,631269500.0
11,1036,3,[2],133953500.0,135399616.66666666,43331689.678991154,114357500.0,169195000.0,101454500.0,256026764.70588234,609729739.419203,62768000.0,142325000.0,134433500.0,227722812.5,261542147.64814168,84486500.0,217698500.0,63901000.0,77705833.33333333,49546814.31877219,52879750.0,115000000.0,113757500.0,118513125.0,46419165.70485057,93545500.0,155970500.0,489232000.0,441136300.0,175947961.41277114,306066500.0,577692000.0,99204500.0,137886500.0,161079653.26896504,60061500.0,134879750.0,155598000.0,160209812.5,44207335.49030459,134609250.0,191316250.0,147877500.0,145200000.0,42004287.316891834,119020750.0,167271750.0,291238500.0,264206833.33333334,105831110.46051419,169945500.0,354935500.0
