['Key.backspaceKey.backspace', 'eKey.space', 'Key.spacet', 'sKey.space', 'th', 'tKey.space', 'Key.spacea', 'he', 'in', 'dKey.space']
User: 1064, platform: 2, session: 2 bads: 0
User: 1064, platform: 3, session: 1 bads: 0
User: 1064, platform: 3, session: 2 bads: 0
User: 1007, platform: 1, session: 1 bads: 0
User: 1007, platform: 1, session: 2 bads: 0
User: 1007, platform: 2, session: 1 bads: 0
User: 1007, platform: 2, session: 2 bads: 0
User: 1007, platform: 3, session: 1 bads: 0
User: 1007, platform: 3, session: 2 bads: 0
User: 1036, platform: 1, session: 1 bads: 0
User: 1036, platform: 1, session: 2 bads: 0
User: 1036, platform: 2, session: 1 bads: 0
User: 1036, platform: 2, session: 2 bads: 0
User: 1036, platform: 3, session: 1 bads: 0
User: 1036, platform: 3, session: 2 bads: 0
User: 1009, platform: 1, session: 1 bads: 0
User: 1009, platform: 1, session: 2 bads: 0
User: 1009, platform: 2, session: 1 bads: 0
User: 1009, platform: 2, session: 2 bads: 0
User: 1009, platform: 3, session: 1 bads: 0
User: 1009, platform: 3, session: 2 bads: 0
User: 1062, platform: 1, session: 1 bads: 0
User: 1062, platform: 1, session: 2 bads: 0
User: 1062, platform: 2, session: 1 bads: 0
User: 1062, platform: 2, session: 2 bads: 0
User: 1062, platform: 3, session: 1 bads: 0
User: 1062, platform: 3, session: 2 bads: 0
User: 1054, platform: 1, session: 1 bads: 0
User: 1054, platform: 1, session: 2 bads: 0
User: 1054, platform: 2, session: 1 bads: 0
User: 1054, platform: 2, session: 2 bads: 0
User: 1054, platform: 3, session: 1 bads: 0
User: 1054, platform: 3, session: 2 bads: 0
User: 1053, platform: 1, session: 1 bads: 0
User: 1053, platform: 1, session: 2 bads: 0
User: 1053, platform: 2, session: 1 bads: 0
User: 1053, platform: 2, session: 2 bads: 0
User: 1053, platform: 3, session: 1 bads: 0
User: 1053, platform: 3, session: 2 bads: 0
User: 1049, platform: 1, session: 1 bads: 0
User: 1049, platform: 1, session: 2 bads: 0
User: 1049, platform: 2, session: 1 bads: 0
User: 1049, platform: 2, session: 2 bads: 0
User: 1049, platform: 3, session: 1 bads: 0
User: 1049, platform: 3, session: 2 bads: 0
User: 1047, platform: 1, session: 1 bads: 0
User: 1047, platform: 1, session: 2 bads: 0
User: 1047, platform: 2, session: 1 bads: 0
User: 1047, platform: 2, session: 2 bads: 0
User: 1047, platform: 3, session: 1 bads: 0
User: 1047, platform: 3, session: 2 bads: 0
User: 1013, platform: 1, session: 1 bads: 0
User: 1013, platform: 1, session: 2 bads: 0
User: 1013, platform: 2, session: 1 bads: 0
User: 1013, platform: 2, session: 2 bads: 0
User: 1013, platform: 3, session: 1 bads: 0
User: 1013, platform: 3, session: 2 bads: 0
User: 1046, platform: 1, session: 1 bads: 0
User: 1046, platform: 1, session: 2 bads: 0
User: 1046, platform: 2, session: 1 bads: 0
User: 1046, platform: 2, session: 2 bads: 0
User: 1046, platform: 3, session: 1 bads: 0
User: 1046, platform: 3, session: 2 bads: 0
User: 1041, platform: 1, session: 1 bads: 0
User: 1041, platform: 1, session: 2 bads: 0
User: 1041, platform: 2, session: 1 bads: 0
User: 1041, platform: 2, session: 2 bads: 0
User: 1041, platform: 3, session: 1 bads: 0
User: 1041, platform: 3, session: 2 bads: 0
User: 1048, platform: 1, session: 1 bads: 0
User: 1048, platform: 1, session: 2 bads: 0
User: 1048, platform: 2, session: 1 bads: 0
User: 1048, platform: 2, session: 2 bads: 0
User: 1048, platform: 3, session: 1 bads: 0
User: 1048, platform: 3, session: 2 bads: 0
User: 1012, platform: 1, session: 1 bads: 0
User: 1012, platform: 1, session: 2 bads: 0
User: 1012, platform: 2, session: 1 bads: 0
User: 1012, platform: 2, session: 2 bads: 0
User: 1012, platform: 3, session: 1 bads: 0
User: 1012, platform: 3, session: 2 bads: 0
Working... ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:18
