user_id,platform_id,session_id,IL_Key.backspaceKey.backspace_mean,IL_Key.backspaceKey.backspace_median,IL_Key.backspaceKey.backspace_q1,IL_Key.backspaceKey.backspace_q3,IL_Key.backspaceKey.backspace_std,IL_Key.spacea_mean,IL_Key.spacea_median,IL_Key.spacea_q1,IL_Key.spacea_q3,IL_Key.spacea_std,IL_Key.spacet_mean,IL_Key.spacet_median,IL_Key.spacet_q1,IL_Key.spacet_q3,IL_Key.spacet_std,IL_dKey.space_mean,IL_dKey.space_median,IL_dKey.space_q1,IL_dKey.space_q3,IL_dKey.space_std,IL_eKey.space_mean,IL_eKey.space_median,IL_eKey.space_q1,IL_eKey.space_q3,IL_eKey.space_std,IL_he_mean,IL_he_median,IL_he_q1,IL_he_q3,IL_he_std,IL_in_mean,IL_in_median,IL_in_q1,IL_in_q3,IL_in_std,IL_sKey.space_mean,IL_sKey.space_median,IL_sKey.space_q1,IL_sKey.space_q3,IL_sKey.space_std,IL_tKey.space_mean,IL_tKey.space_median,IL_tKey.space_q1,IL_tKey.space_q3,IL_tKey.space_std,IL_th_mean,IL_th_median,IL_th_q1,IL_th_q3,IL_th_std
1029,2,1,150.9615,150.9615,80.32,221.60299999999998,99.90216736637899,150.0254,95.229,63.520999999999994,97.36099999999999,189.05265720639844,232.55717647058825,108.374,47.286,269.067,293.86551517131846,113.38919999999999,44.461999999999996,32.562,75.524,166.54998478895155,0.5313846153846152,-16.784,-23.044,31.980999999999998,42.031440695306614,82.81590909090909,81.604,74.51599999999999,102.892,27.721186862955722,119.53566666666666,114.201,114.201,130.428,9.43369632399376,18.345545454545455,19.868,1.9449999999999998,38.097,27.405900705372325,110.16844444444443,84.179,52.099,109.323,125.17539202865623,69.44008333333333,41.7195,32.676,111.002,58.58779312273525
1043,3,1,1058.264181818182,106.15599999999999,94.972,200.963,4221.57501050257,671.11825,184.493,86.88199999999999,749.5219999999999,961.796043750822,1069.3213333333335,318.55949999999996,182.38,753.204,2376.233241650075,76.66516666666666,74.071,62.053999999999995,80.579,22.01594720575671,76.83889655172416,62.391,42.314,84.425,62.14641404224659,140.75733333333332,118.00699999999999,118.00699999999999,194.398,46.63213205862813,90.78366666666665,92.9735,80.331,106.55,22.901711269393527,63.890222222222214,58.065,41.699999999999996,71.152,29.473502615814844,88.87113636363637,89.27449999999999,66.709,113.68599999999999,29.664496764884664,103.371,102.69999999999999,88.55199999999999,117.11699999999999,20.505563586500127
1064,3,2,1150.1565652173917,96.914,79.539,463.91299999999995,4316.679937704974,1787.8299473684215,328.5725,85.464,1056.6299999999999,5600.185942386585,649.6833939393938,339.45799999999997,205.343,961.8249999999999,688.265678274292,230.8382962962963,53.727,27.465,193.167,374.3085639280897,296.41799999999995,118.36,78.219,231.129,380.6847224131926,-5.868807692307693,-26.540499999999998,-43.370999999999995,2.903,96.07219727809672,141.85799999999998,139.5115,132.713,143.452,28.998387512456283,380.37344444444443,149.733,86.964,636.91,408.37732268658306,229.40646428571426,165.9765,146.58499999999998,193.07,172.34580820386412,84.43910344827587,84.631,76.917,91.818,11.666143745118754
1054,3,2,149.5857391304348,90.347,84.071,115.39699999999999,133.98854910341385,450.9159999999999,257.727,144.553,418.229,505.6769031119664,222.10595652173907,75.06099999999999,65.41799999999999,143.22899999999998,529.7049331352896,25.716874999999998,18.2655,0.95,42.236999999999995,27.81034462434797,33.055151515151515,12.222,-2.96,32.537,98.6616791404853,46.09853333333332,34.665,25.99,65.37899999999999,41.357954560272,43.45628571428573,36.839,-7.417,62.556,79.83156837939666,50.81195652173913,-3.516,-23.296,28.166999999999998,232.07021155039155,30.271733333333326,7.8839999999999995,1.107,41.952999999999996,55.31816566459194,31.40911764705883,11.450999999999999,-3.752,44.784,76.79571570966895
1051,2,2,189.13952499999994,95.34549999999999,88.34299999999999,128.44,322.9112436317357,1024.3103999999998,438.438,176.521,611.221,1541.3641587499042,502.02833333333336,440.7835,279.38,837.442,402.55039441474486,100.101,100.101,100.101,100.101,0.0,-23.60433333333333,-24.092,-44.413,-5.213,37.14387302099769,36.64566666666666,36.204499999999996,-3.1239999999999997,63.064,40.71407064230579,146.57999999999998,146.57999999999998,146.57999999999998,146.57999999999998,0.0,-12.747285714285713,-18.712,-22.314,9.776,27.72260243744735,34.184,24.779,-11.24,58.617,59.947110837804345,66.627,54.245999999999995,39.717,84.461,42.002189841721346
1057,3,1,104.30066956521738,85.452,78.215,94.923,93.43876460386701,398.2669999999999,150.271,24.467,302.47999999999996,1223.25977694319,439.758943661972,68.749,2.746,273.22499999999997,1294.8222947313866,28.11451111111111,-7.9719999999999995,-26.782,33.827999999999996,118.84044121457028,13.506379629629624,3.4475,-35.606,35.032,87.454042812747,-50.77542857142858,-64.3865,-103.817,-18.983999999999998,91.34769104912816,-35.727954545454544,-44.708,-79.972,-25.36,73.77874082749658,22.61838888888889,3.651,-20.701999999999998,38.881,90.60983186610812,171.09319178082194,18.127,-4.638,47.425999999999995,1119.5560900433268,-14.073862068965514,-10.242999999999999,-40.205999999999996,21.281,79.2804370308666
1002,1,2,71.10018333333332,63.967,56.001999999999995,71.942,43.17792771638159,48.73899999999999,24.049,-7.476,55.446,93.75476439946931,55.21728571428572,31.915999999999997,7.673,64.026,108.50379622027094,13.619434782608696,16.000999999999998,-7.595,31.956999999999997,44.501261140276675,5.99269230769231,11.741,-7.5249999999999995,31.808999999999997,40.71772182778213,-1.6490999999999985,7.5565,-15.863,16.116,29.707619715274536,-48.32150000000001,-47.774499999999996,-63.956999999999994,-39.894999999999996,24.6035828280393,14.822258064516124,15.959999999999999,-7.444999999999999,39.986,35.324386093243234,14.649407407407407,15.915999999999999,-7.457999999999999,39.839999999999996,29.593657415917892,22.08856,7.661,-7.417,24.070999999999998,54.078046876774934
1039,1,2,131.12736363636364,116.365,107.505,135.54399999999998,40.78195993640503,280.65455555555553,234.551,126.803,333.171,213.3915857631874,512.6215,528.833,295.27299999999997,773.688,344.4321715239446,57.60766666666667,58.768,58.768,110.518,53.49993804046256,132.9808181818182,76.398,53.577,169.182,150.22659449632624,103.243,103.243,103.243,103.243,0.0,175.78079999999997,181.415,173.646,186.641,17.22464135185404,171.53669999999997,79.372,69.176,112.764,288.4617584560675,169.24079999999998,208.53099999999998,126.53399999999999,215.761,66.27391852908654,43.496833333333335,39.0815,12.914,45.274,41.72167824245168
1001,1,2,120.41905555555553,92.21549999999999,80.006,104.006,96.76190134033503,80.80597499999998,36.025999999999996,15.937,56.236,204.62215635259045,69.30059574468082,39.815999999999995,15.959,55.576,228.96405134133477,14.406863636363632,-7.615,-31.482,24.023999999999997,84.78259878923686,-2.5761999999999996,-7.43,-23.994999999999997,15.931,31.243933916384933,-12.57078947368421,-15.551,-15.732999999999999,7.867999999999999,20.99444960930533,-38.26015625,-40.01349999999999,-48.019999999999996,-24.326,17.199908705889328,2.5931714285714262,7.574,-16.052,15.989999999999998,35.56162826739759,-6.535696969696969,0.733,-23.986,7.984999999999999,23.92301033456707,-6.801571428571427,-7.552,-17.048,8.039,26.99972429592104
1009,2,1,97.56907692307693,83.77699999999999,71.943,89.03,59.04836206224392,371.32739999999995,112.00399999999999,104.31899999999999,264.018,555.1305445017415,375.337,207.80449999999996,136.152,591.938,385.4994477628399,24.0535,16.06,7.566,31.802,26.276223387313483,96.05439999999999,56.041,39.974,103.98299999999999,159.20889042602397,52.56785714285714,40.181,15.988,95.979,42.766946038689625,95.88599999999998,91.76249999999999,87.773,104.042,18.972895372082778,347.10079999999994,56.125,7.962,151.801,768.7904464410497,90.82718181818183,64.28399999999999,55.733999999999995,79.922,70.97052180281356,115.0031818181818,104.0,95.94999999999999,144.361,60.9115196097063
