scenario_id,train_samples_per_user,threshold,baseline_top1,target_accuracy,K_needed,n_features_at_K,accuracy_at_K
1.1,1,90%,0.8233151183970856,0.740983606557377,27,422,0.7528840315725561
1.1,1,95%,0.8233151183970856,0.7821493624772313,40,482,0.7935640558591378
1.2,1,90%,0.8312082574377656,0.7480874316939891,27,423,0.7516697024893746
1.2,1,95%,0.8312082574377656,0.7896478445658773,45,493,0.8069216757741349
2.1,1,90%,0.8242258652094718,0.7418032786885247,28,426,0.7422586520947176
2.1,1,95%,0.8242258652094718,0.7830145719489982,40,482,0.7859744990892531
2.2,1,90%,0.8227079538554948,0.7404371584699453,28,430,0.7428658166363085
2.2,1,95%,0.8227079538554948,0.78157255616272,45,493,0.7887067395264117
3.1,2,90%,0.9676684881602915,0.8709016393442623,9,350,0.8718882817243473
3.1,2,95%,0.9676684881602915,0.9192850637522769,24,399,0.9195506982392229
3.2,4,90%,0.9966605950212508,0.8969945355191258,5,310,0.9432301153612629
3.2,4,95%,0.9966605950212508,0.9468275652701882,6,331,0.9568913175470551
4.1,2,90%,0.955069823922283,0.8595628415300547,18,389,0.8696114146933819
4.1,2,95%,0.955069823922283,0.9073163327261689,29,413,0.916514875531269
4.2,4,90%,0.9869459623557985,0.8882513661202186,5,310,0.9119611414693382
4.2,4,95%,0.9869459623557985,0.9375986642380085,7,339,0.9518822100789314
5.1,1,90%,0.8020643594414086,0.7218579234972677,28,426,0.7285974499089254
5.1,1,95%,0.8020643594414086,0.7619611414693381,40,482,0.7665452337583486
5.2,1,90%,0.7929568913175471,0.7136612021857924,28,430,0.7204007285974499
5.2,1,95%,0.7929568913175471,0.7533090467516697,45,493,0.7659380692167578
