scenario_id,K,train_samples_per_user,top1_mean,top1_std,top3_mean,top3_std,top5_mean,top5_std,n_features_mean,n_features_std,n_observations,baseline_top1_mean,baseline_top1_std,baseline_top3_mean,baseline_top5_mean
1.1,1,1,0.2975106253794778,0.06393017473879674,0.5434122647237402,0.06360598921102305,0.676381299332119,0.05034201603425071,167.33333333333334,10.557534677259573,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,2,1,0.36733454766241647,0.07969865246247407,0.6363084395871281,0.08627243943933942,0.7534911961141469,0.06902660399013053,193.88888888888889,11.751704731763986,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,3,1,0.39222829386763813,0.06182973566221122,0.6605950212507589,0.0660159766166037,0.7795992714025501,0.04710486867217674,206.33333333333334,11.428708790383308,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,4,1,0.4395871281117183,0.08579185887701626,0.697632058287796,0.08761540178817442,0.8227079538554948,0.07471540516453604,243.33333333333334,48.45934060950161,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,5,1,0.5330904675166971,0.07364713946146362,0.8026715239829995,0.06074283673226315,0.8919247115968427,0.041982593744079186,314.3333333333333,43.07417573656652,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,6,1,0.5379477838494232,0.07014888246419823,0.8051001821493625,0.05328273014708979,0.8961748633879781,0.0377679171043428,322.3333333333333,36.63541791973781,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,7,1,0.5664845173041895,0.05684919022132581,0.8251366120218578,0.044780027502054696,0.9107468123861566,0.024625167744223325,330.6666666666667,31.57774289200934,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,8,1,0.5925925925925926,0.05316044764873406,0.8457802064359441,0.04222808149549954,0.9168184578020644,0.030134150383367957,356.0,6.793662204867571,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,9,1,0.6120218579234973,0.053989343325618264,0.8439587128111719,0.03947287992860135,0.922890103217972,0.029401099898272904,361.55555555555554,9.303983155837212,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,10,1,0.6102003642987249,0.05150723374571981,0.8469945355191256,0.04636765778272441,0.9277474195506983,0.022851188565832993,366.44444444444446,7.806965988699961,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,11,1,0.6138433515482695,0.04861663787011693,0.8476017000607164,0.04565209025364787,0.9253187613843351,0.03128110122764032,368.77777777777777,8.063847780411102,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,12,1,0.6187006678809958,0.0488836348200672,0.8506375227686703,0.04297394844600947,0.9156041287188827,0.03331966358580388,371.6666666666667,6.318471090626037,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,13,1,0.6278081360048573,0.0482927076922494,0.8554948391013965,0.041431858127560284,0.9241044323011536,0.03888661646736141,376.6666666666667,5.5608521759777405,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
