model,experiment,scaler,early_stopping,k_value,train_top_k_accuracy,test_top_k_accuracy,model_path,hyperparameters,timestamp
XGBoost,FT_vs_I_no_scaling,NONE,False,4,1.0,0.9305555555555556,experiment_results_20250526_181934/XGBoost_FT_vs_I_no_scaling_NONE_20250526_182038.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,FT_vs_I_no_scaling,NONE,False,5,1.0,0.9444444444444444,experiment_results_20250526_181934/XGBoost_FT_vs_I_no_scaling_NONE_20250526_182038.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
CatBoost,FT_vs_I_no_scaling,NONE,False,1,1.0,0.9444444444444444,experiment_results_20250526_181934/CatBoost_FT_vs_I_no_scaling_NONE_20250526_182113.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,FT_vs_I_no_scaling,NONE,False,2,1.0,0.9722222222222222,experiment_results_20250526_181934/CatBoost_FT_vs_I_no_scaling_NONE_20250526_182113.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,FT_vs_I_no_scaling,NONE,False,3,1.0,0.9861111111111112,experiment_results_20250526_181934/CatBoost_FT_vs_I_no_scaling_NONE_20250526_182113.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,FT_vs_I_no_scaling,NONE,False,4,1.0,1.0,experiment_results_20250526_181934/CatBoost_FT_vs_I_no_scaling_NONE_20250526_182113.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,FT_vs_I_no_scaling,NONE,False,5,1.0,1.0,experiment_results_20250526_181934/CatBoost_FT_vs_I_no_scaling_NONE_20250526_182113.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
SVM,FT_vs_I_SVM,NONE,False,1,0.0,0.0,experiment_results_20250526_181934/SVM_FT_vs_I_SVM_NONE_20250526_182114.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,FT_vs_I_SVM,NONE,False,2,0.0,0.013888888888888888,experiment_results_20250526_181934/SVM_FT_vs_I_SVM_NONE_20250526_182114.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,FT_vs_I_SVM,NONE,False,3,0.0,0.027777777777777776,experiment_results_20250526_181934/SVM_FT_vs_I_SVM_NONE_20250526_182114.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,FT_vs_I_SVM,NONE,False,4,0.006944444444444444,0.05555555555555555,experiment_results_20250526_181934/SVM_FT_vs_I_SVM_NONE_20250526_182114.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,FT_vs_I_SVM,NONE,False,5,0.013888888888888888,0.05555555555555555,experiment_results_20250526_181934/SVM_FT_vs_I_SVM_NONE_20250526_182114.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
