model,experiment,scaler,early_stopping,model_path,hyperparameters,train_accuracy,train_f1_weighted,train_f1_macro,train_precision_weighted,train_precision_macro,train_recall_weighted,train_recall_macro,train_top_1_accuracy,train_top_2_accuracy,train_top_3_accuracy,train_top_4_accuracy,train_top_5_accuracy,train_recognition_rate,test_accuracy,test_f1_weighted,test_f1_macro,test_precision_weighted,test_precision_macro,test_recall_weighted,test_recall_macro,test_top_1_accuracy,test_top_2_accuracy,test_top_3_accuracy,test_top_4_accuracy,test_top_5_accuracy,test_recognition_rate
RandomForest,F_vs_T_no_scaling,NONE,False,experiment_results_20250526_181934/RandomForest_F_vs_T_no_scaling_NONE_20250526_182508.pkl,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7638888888888888,0.7362433862433863,0.7362433862433863,0.7564814814814815,0.7564814814814815,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.8472222222222222,0.8888888888888888,0.9166666666666666,0.9583333333333334,0.0
XGBoost,F_vs_T_no_scaling,NONE,False,experiment_results_20250526_181934/XGBoost_F_vs_T_no_scaling_NONE_20250526_182514.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5416666666666666,0.5243827160493827,0.5243827160493827,0.5496031746031745,0.5496031746031745,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.6805555555555556,0.7222222222222222,0.8333333333333334,0.8611111111111112,0.0
CatBoost,F_vs_T_no_scaling,NONE,False,experiment_results_20250526_181934/CatBoost_F_vs_T_no_scaling_NONE_20250526_182540.pkl,"{'border_count': 64, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6944444444444444,0.6519841269841271,0.6519841269841271,0.6685185185185185,0.6685185185185185,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.8472222222222222,0.8888888888888888,0.9305555555555556,0.9305555555555556,0.0
SVM,F_vs_T_SVM,NONE,False,experiment_results_20250526_181934/SVM_F_vs_T_SVM_NONE_20250526_182541.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6111111111111112,0.632010582010582,0.632010582010582,0.7680555555555555,0.7680555555555555,0.6111111111111112,0.6111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.08009259259259259,0.08009259259259259,0.07768620268620269,0.07768620268620269,0.125,0.125,0.013888888888888888,0.041666666666666664,0.041666666666666664,0.05555555555555555,0.08333333333333333,0.0
RandomForest,I_vs_F_no_scaling,NONE,False,experiment_results_20250526_181934/RandomForest_I_vs_F_no_scaling_NONE_20250526_182544.pkl,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.712037037037037,0.712037037037037,0.7175925925925926,0.7175925925925926,0.75,0.75,0.75,0.8611111111111112,0.9166666666666666,0.9305555555555556,0.9583333333333334,0.0
XGBoost,I_vs_F_no_scaling,NONE,False,experiment_results_20250526_181934/XGBoost_I_vs_F_no_scaling_NONE_20250526_182548.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6111111111111112,0.5842592592592593,0.5842592592592593,0.611111111111111,0.611111111111111,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.7916666666666666,0.8194444444444444,0.8194444444444444,0.8611111111111112,0.0
CatBoost,I_vs_F_no_scaling,NONE,False,experiment_results_20250526_181934/CatBoost_I_vs_F_no_scaling_NONE_20250526_182613.pkl,"{'border_count': 64, 'depth': 4, 'iterations': 100, 'l2_leaf_reg': 3, 'learning_rate': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7361111111111112,0.7103174603174603,0.7103174603174603,0.7287037037037037,0.7287037037037037,0.7361111111111112,0.7361111111111112,0.7361111111111112,0.8055555555555556,0.9027777777777778,0.9027777777777778,0.9305555555555556,0.0
SVM,I_vs_F_SVM,NONE,False,experiment_results_20250526_181934/SVM_I_vs_F_SVM_NONE_20250526_182614.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6666666666666666,0.6747354497354497,0.6747354497354497,0.8060185185185185,0.8060185185185185,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.06666666666666667,0.06666666666666667,0.057870370370370364,0.057870370370370364,0.08333333333333333,0.08333333333333333,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.027777777777777776,0.05555555555555555,0.0
RandomForest,I_vs_T_no_scaling,NONE,False,experiment_results_20250526_181934/RandomForest_I_vs_T_no_scaling_NONE_20250526_182616.pkl,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8055555555555556,0.7824074074074074,0.7824074074074074,0.7939814814814814,0.7939814814814814,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.9166666666666666,0.9305555555555556,0.9444444444444444,0.9722222222222222,0.0
XGBoost,I_vs_T_no_scaling,NONE,False,experiment_results_20250526_181934/XGBoost_I_vs_T_no_scaling_NONE_20250526_182621.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5277777777777778,0.5074074074074075,0.5074074074074075,0.5231481481481481,0.5231481481481481,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.7777777777777778,0.8472222222222222,0.9027777777777778,0.9166666666666666,0.0
