model,experiment,scaler,early_stopping,model_path,hyperparameters,train_accuracy,train_f1_weighted,train_f1_macro,train_precision_weighted,train_precision_macro,train_recall_weighted,train_recall_macro,train_top_1_accuracy,train_top_2_accuracy,train_top_3_accuracy,train_top_4_accuracy,train_top_5_accuracy,train_recognition_rate,test_accuracy,test_f1_weighted,test_f1_macro,test_precision_weighted,test_precision_macro,test_recall_weighted,test_recall_macro,test_top_1_accuracy,test_top_2_accuracy,test_top_3_accuracy,test_top_4_accuracy,test_top_5_accuracy,test_recognition_rate
CatBoost,I_vs_T_no_scaling,NONE,False,experiment_results_20250526_181934/CatBoost_I_vs_T_no_scaling_NONE_20250526_182645.pkl,"{'border_count': 64, 'depth': 4, 'iterations': 100, 'l2_leaf_reg': 3, 'learning_rate': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.7259259259259259,0.7259259259259259,0.75,0.75,0.75,0.75,0.75,0.9027777777777778,0.9583333333333334,0.9861111111111112,0.9861111111111112,0.0
SVM,I_vs_T_SVM,NONE,False,experiment_results_20250526_181934/SVM_I_vs_T_SVM_NONE_20250526_182646.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6666666666666666,0.6747354497354497,0.6747354497354497,0.8060185185185185,0.8060185185185185,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.11635802469135803,0.11635802469135803,0.09689153439153439,0.09689153439153439,0.16666666666666666,0.16666666666666666,0.013888888888888888,0.027777777777777776,0.027777777777777776,0.041666666666666664,0.041666666666666664,0.0
RandomForest,T_vs_F_no_scaling,NONE,False,experiment_results_20250526_181934/RandomForest_T_vs_F_no_scaling_NONE_20250526_182649.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7777777777777778,0.75,0.75,0.7731481481481483,0.7731481481481483,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8611111111111112,0.9305555555555556,0.9305555555555556,0.9583333333333334,0.0
XGBoost,T_vs_F_no_scaling,NONE,False,experiment_results_20250526_181934/XGBoost_T_vs_F_no_scaling_NONE_20250526_182654.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4861111111111111,0.4607142857142857,0.4607142857142857,0.47777777777777775,0.47777777777777775,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.6666666666666666,0.7916666666666666,0.8472222222222222,0.875,0.0
CatBoost,T_vs_F_no_scaling,NONE,False,experiment_results_20250526_181934/CatBoost_T_vs_F_no_scaling_NONE_20250526_182719.pkl,"{'border_count': 64, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6805555555555556,0.6334656084656084,0.6334656084656084,0.6592592592592592,0.6592592592592592,0.6805555555555556,0.6805555555555556,0.6805555555555556,0.7916666666666666,0.8611111111111112,0.9027777777777778,0.9166666666666666,0.0
SVM,T_vs_F_SVM,NONE,False,experiment_results_20250526_181934/SVM_T_vs_F_SVM_NONE_20250526_182719.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6944444444444444,0.7010582010582012,0.7010582010582012,0.8282407407407407,0.8282407407407407,0.6944444444444444,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.1527777777777778,0.11155202821869488,0.11155202821869488,0.10353835978835979,0.10353835978835979,0.1527777777777778,0.1527777777777778,0.0,0.0,0.027777777777777776,0.041666666666666664,0.041666666666666664,0.0
RandomForest,T_vs_I_no_scaling,NONE,False,experiment_results_20250526_181934/RandomForest_T_vs_I_no_scaling_NONE_20250526_182722.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8194444444444444,0.787037037037037,0.787037037037037,0.8009259259259259,0.8009259259259259,0.8194444444444444,0.8194444444444444,0.8194444444444444,0.9444444444444444,0.9583333333333334,0.9722222222222222,0.9722222222222222,0.0
XGBoost,T_vs_I_no_scaling,NONE,False,experiment_results_20250526_181934/XGBoost_T_vs_I_no_scaling_NONE_20250526_182727.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5416666666666666,0.5121693121693122,0.5121693121693122,0.5365740740740741,0.5365740740740741,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.7222222222222222,0.8472222222222222,0.875,0.9027777777777778,0.0
CatBoost,T_vs_I_no_scaling,NONE,False,experiment_results_20250526_181934/CatBoost_T_vs_I_no_scaling_NONE_20250526_182752.pkl,"{'border_count': 64, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8194444444444444,0.8038359788359789,0.8038359788359789,0.8398148148148148,0.8398148148148148,0.8194444444444444,0.8194444444444444,0.8194444444444444,0.9027777777777778,0.9305555555555556,0.9861111111111112,0.9861111111111112,0.0
SVM,T_vs_I_SVM,NONE,False,experiment_results_20250526_181934/SVM_T_vs_I_SVM_NONE_20250526_182753.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6944444444444444,0.7010582010582012,0.7010582010582012,0.8282407407407407,0.8282407407407407,0.6944444444444444,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,0.15123456790123455,0.15123456790123455,0.1433531746031746,0.1433531746031746,0.19444444444444445,0.19444444444444445,0.0,0.0,0.027777777777777776,0.05555555555555555,0.06944444444444445,0.0
