model,experiment,random_seed,early_stopping,k_value,train_top_k_accuracy,test_top_k_accuracy,model_path,hyperparameters,timestamp
CatBoost,S1_vs_S2_P1,42,True,1,0.84375,0.5102040816326531,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/catboost_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 1000, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",2025-08-14_220927
CatBoost,S1_vs_S2_P1,42,True,2,0.9375,0.7959183673469388,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/catboost_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 1000, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",2025-08-14_220927
CatBoost,S1_vs_S2_P1,42,True,3,1.0,0.9693877551020408,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/catboost_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 1000, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",2025-08-14_220927
CatBoost,S1_vs_S2_P1,42,True,4,1.0,0.9693877551020408,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/catboost_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 1000, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",2025-08-14_220927
CatBoost,S1_vs_S2_P1,42,True,5,1.0,0.9897959183673469,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/catboost_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 1000, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",2025-08-14_220927
SVM,S1_vs_S2_P1,42,True,1,0.4375,0.42857142857142855,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/svm_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",2025-08-14_220927
SVM,S1_vs_S2_P1,42,True,2,0.71875,0.673469387755102,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/svm_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",2025-08-14_220927
SVM,S1_vs_S2_P1,42,True,3,0.9375,0.8673469387755102,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/svm_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",2025-08-14_220927
SVM,S1_vs_S2_P1,42,True,4,1.0,0.9081632653061225,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/svm_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",2025-08-14_220927
SVM,S1_vs_S2_P1,42,True,5,1.0,0.9591836734693877,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/svm_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",2025-08-14_220927
