scenario_id,pca_top1_mean,pca_top1_std,pca_top5_mean,rf_top1_mean,rf_top1_std,rf_top5_mean,baseline_top1_mean,baseline_top1_std,baseline_top5_mean,n_sub_experiments,n_pca_features,n_rf_features
1.1,0.6478445658773528,0.05519548786077308,0.9295689131754705,0.74013357619915,0.0320547847322445,0.930783242258652,0.8281724347298117,0.03226904115563353,0.9848208864602306,9,384,10
1.2,0.6399514268366728,0.050319197260229084,0.920461445051609,0.7455980570734669,0.04225526987571439,0.9319975713418337,0.840922890103218,0.03771720146832657,0.9751062537947783,9,384,10
2.1,0.6353976927747419,0.04797314008680113,0.9368548876745597,0.7319368548876748,0.026673744931524298,0.9316939890710384,0.8254401942926533,0.044828311780089454,0.9857316332726169,18,384,10
2.2,0.6250758955676988,0.0608444824471767,0.9134790528233151,0.7462052216150575,0.03613310056913982,0.9216757741347905,0.8236187006678807,0.057050032274356004,0.9805707346690953,18,384,10
3.1,0.8875227686703097,0.03060380844593138,0.9936247723132969,0.7888585306618096,0.026830380956057602,0.9579538554948391,0.9676684881602914,0.0183226614825709,0.9993928354584093,18,384,10
3.2,0.982695810564663,0.01751127897767398,1.0,0.8108682452944749,0.021317043351354682,0.9766241651487553,0.9966605950212508,0.0052135168712733855,1.0,9,384,10
4.1,0.8561778992106861,0.03676604779059751,0.9865664845173042,0.784077109896782,0.019285369872884855,0.9539313904068002,0.955069823922283,0.01958644973586991,0.9945355191256829,36,384,10
4.2,0.9719186399514269,0.01908082957732515,0.9980267152398299,0.8032786885245904,0.01535531417321859,0.9710078931390406,0.9869459623557985,0.011648480415005266,0.9998482088646022,18,384,10
5.1,0.5953248330297511,0.05221331981852448,0.9043715846994536,0.7352762598664236,0.037465099890703894,0.9301760777170612,0.8054037644201579,0.04390125476026054,0.9632665452337583,18,384,10
5.2,0.5965391621129326,0.054827511869795474,0.8979963570127505,0.7431693989071037,0.0444697342068064,0.917425622343655,0.7920461445051608,0.05221331981852448,0.9593199757134181,18,384,10
