model,experiment,random_seed,early_stopping,k_value,train_top_k_accuracy,test_top_k_accuracy,model_path,hyperparameters,timestamp
RandomForest,FI_vs_T_seed42,42,False,1,1.0,0.9722222222222222,experiment_results_2025-05-26T21-15-48/randomforest_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",2025-05-26T21-15-48
RandomForest,FI_vs_T_seed42,42,False,2,1.0,0.9722222222222222,experiment_results_2025-05-26T21-15-48/randomforest_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",2025-05-26T21-15-48
RandomForest,FI_vs_T_seed42,42,False,3,1.0,1.0,experiment_results_2025-05-26T21-15-48/randomforest_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",2025-05-26T21-15-48
RandomForest,FI_vs_T_seed42,42,False,4,1.0,1.0,experiment_results_2025-05-26T21-15-48/randomforest_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",2025-05-26T21-15-48
RandomForest,FI_vs_T_seed42,42,False,5,1.0,1.0,experiment_results_2025-05-26T21-15-48/randomforest_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",2025-05-26T21-15-48
XGBoost,FI_vs_T_seed42,42,False,1,1.0,0.6666666666666666,experiment_results_2025-05-26T21-15-48/xgboost_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 3, 'subsample': 0.8}",2025-05-26T21-15-48
XGBoost,FI_vs_T_seed42,42,False,2,1.0,0.8194444444444444,experiment_results_2025-05-26T21-15-48/xgboost_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 3, 'subsample': 0.8}",2025-05-26T21-15-48
XGBoost,FI_vs_T_seed42,42,False,3,1.0,0.875,experiment_results_2025-05-26T21-15-48/xgboost_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 3, 'subsample': 0.8}",2025-05-26T21-15-48
XGBoost,FI_vs_T_seed42,42,False,4,1.0,0.9027777777777778,experiment_results_2025-05-26T21-15-48/xgboost_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 3, 'subsample': 0.8}",2025-05-26T21-15-48
XGBoost,FI_vs_T_seed42,42,False,5,1.0,0.9166666666666666,experiment_results_2025-05-26T21-15-48/xgboost_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 3, 'subsample': 0.8}",2025-05-26T21-15-48
CatBoost,FI_vs_T_seed42,42,False,1,1.0,0.9583333333333334,experiment_results_2025-05-26T21-15-48/catboost_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'border_count': 32, 'depth': 8, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",2025-05-26T21-15-48
CatBoost,FI_vs_T_seed42,42,False,2,1.0,0.9861111111111112,experiment_results_2025-05-26T21-15-48/catboost_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'border_count': 32, 'depth': 8, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",2025-05-26T21-15-48
CatBoost,FI_vs_T_seed42,42,False,3,1.0,1.0,experiment_results_2025-05-26T21-15-48/catboost_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'border_count': 32, 'depth': 8, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",2025-05-26T21-15-48
CatBoost,FI_vs_T_seed42,42,False,4,1.0,1.0,experiment_results_2025-05-26T21-15-48/catboost_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'border_count': 32, 'depth': 8, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",2025-05-26T21-15-48
CatBoost,FI_vs_T_seed42,42,False,5,1.0,1.0,experiment_results_2025-05-26T21-15-48/catboost_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'border_count': 32, 'depth': 8, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",2025-05-26T21-15-48
SVM,FI_vs_T_seed42,42,False,1,0.0,0.027777777777777776,experiment_results_2025-05-26T21-15-48/svm_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",2025-05-26T21-15-48
SVM,FI_vs_T_seed42,42,False,2,0.0,0.027777777777777776,experiment_results_2025-05-26T21-15-48/svm_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",2025-05-26T21-15-48
