model,experiment,random_seed,early_stopping,model_path,hyperparameters,train_accuracy,train_f1_weighted,train_f1_macro,train_precision_weighted,train_precision_macro,train_recall_weighted,train_recall_macro,train_top_1_accuracy,train_top_2_accuracy,train_top_3_accuracy,train_top_4_accuracy,train_top_5_accuracy,train_recognition_rate,test_accuracy,test_f1_weighted,test_f1_macro,test_precision_weighted,test_precision_macro,test_recall_weighted,test_recall_macro,test_top_1_accuracy,test_top_2_accuracy,test_top_3_accuracy,test_top_4_accuracy,test_top_5_accuracy,test_recognition_rate
RandomForest,FI_vs_T_seed42,42,False,experiment_results_2025-05-26T21-15-48/randomforest_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9722222222222222,0.9703703703703704,0.9703703703703704,0.9814814814814814,0.9814814814814814,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,1.0,1.0,1.0,0.0
XGBoost,FI_vs_T_seed42,42,False,experiment_results_2025-05-26T21-15-48/xgboost_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 3, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.6584656084656085,0.6584656084656085,0.7124999999999999,0.7124999999999999,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8194444444444444,0.875,0.9027777777777778,0.9166666666666666,0.0
CatBoost,FI_vs_T_seed42,42,False,experiment_results_2025-05-26T21-15-48/catboost_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'border_count': 32, 'depth': 8, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9583333333333334,0.9555555555555555,0.9555555555555555,0.9722222222222222,0.9722222222222222,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9861111111111112,1.0,1.0,1.0,0.0
SVM,FI_vs_T_seed42,42,False,experiment_results_2025-05-26T21-15-48/svm_FI_vs_T_seed42_2025-05-26T21-15-48_seed42.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4305555555555556,0.4273350922860727,0.4273350922860727,0.6030444863778197,0.6030444863778197,0.4305555555555556,0.4305555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.18055555555555555,0.13324514991181657,0.13324514991181657,0.13756613756613756,0.13756613756613756,0.18055555555555555,0.18055555555555555,0.027777777777777776,0.027777777777777776,0.041666666666666664,0.05555555555555555,0.05555555555555555,0.0
RandomForest,FI_vs_T_seed123,123,False,experiment_results_2025-05-26T21-15-48/randomforest_FI_vs_T_seed123_2025-05-26T21-15-48_seed123.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9444444444444444,0.940740740740741,0.940740740740741,0.9629629629629629,0.9629629629629629,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9722222222222222,1.0,1.0,1.0,0.0
XGBoost,FI_vs_T_seed123,123,False,experiment_results_2025-05-26T21-15-48/xgboost_FI_vs_T_seed123_2025-05-26T21-15-48_seed123.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 3, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6805555555555556,0.6593915343915344,0.6593915343915344,0.7055555555555555,0.7055555555555555,0.6805555555555556,0.6805555555555556,0.6805555555555556,0.8333333333333334,0.875,0.9166666666666666,0.9305555555555556,0.0
CatBoost,FI_vs_T_seed123,123,False,experiment_results_2025-05-26T21-15-48/catboost_FI_vs_T_seed123_2025-05-26T21-15-48_seed123.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9583333333333334,0.9555555555555555,0.9555555555555555,0.972222222222222,0.972222222222222,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.0
SVM,FI_vs_T_seed123,123,False,experiment_results_2025-05-26T21-15-48/svm_FI_vs_T_seed123_2025-05-26T21-15-48_seed123.pkl,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.6458333333333334,0.6549558871927293,0.6549558871927293,0.7958694083694083,0.7958694083694083,0.6458333333333334,0.6458333333333334,0.2638888888888889,0.4027777777777778,0.4375,0.4583333333333333,0.5,0.0,0.20833333333333334,0.15414462081128746,0.15414462081128746,0.15886243386243387,0.15886243386243387,0.20833333333333334,0.20833333333333334,0.16666666666666666,0.19444444444444445,0.25,0.3194444444444444,0.3888888888888889,0.0
RandomForest,FI_vs_T_seed456,456,False,experiment_results_2025-05-26T21-15-48/randomforest_FI_vs_T_seed456_2025-05-26T21-15-48_seed456.pkl,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9444444444444444,0.940740740740741,0.940740740740741,0.9629629629629629,0.9629629629629629,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9861111111111112,1.0,1.0,1.0,0.0
XGBoost,FI_vs_T_seed456,456,False,experiment_results_2025-05-26T21-15-48/xgboost_FI_vs_T_seed456_2025-05-26T21-15-48_seed456.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 3, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7361111111111112,0.7186507936507937,0.7186507936507937,0.7541666666666667,0.7541666666666667,0.7361111111111112,0.7361111111111112,0.7361111111111112,0.8333333333333334,0.8888888888888888,0.9166666666666666,0.9305555555555556,0.0
