scenario_id,pca_top1_mean,pca_top1_std,pca_top5_mean,rf_top1_mean,rf_top1_std,rf_top5_mean,baseline_top1_mean,baseline_top1_std,baseline_top5_mean,n_sub_experiments,n_pca_features,n_rf_features
1.1,0.6478445658773528,0.05519548786077308,0.9295689131754705,0.5464480874316939,0.047031667588831066,0.8451730418943534,0.8281724347298117,0.03226904115563353,0.9848208864602306,9,384,4
1.2,0.6399514268366728,0.050319197260229084,0.920461445051609,0.546448087431694,0.04614419789037071,0.8591378263509412,0.840922890103218,0.03771720146832657,0.9751062537947783,9,384,4
2.1,0.6353976927747419,0.04797314008680113,0.9368548876745597,0.5294474802671524,0.05141136342292004,0.8448694596235579,0.8254401942926533,0.044828311780089454,0.9857316332726169,18,384,4
2.2,0.6250758955676988,0.0608444824471767,0.9134790528233151,0.5215543412264724,0.045381042556707336,0.8457802064359441,0.8236187006678807,0.057050032274356004,0.9805707346690953,18,384,4
3.1,0.8875227686703097,0.03060380844593138,0.9936247723132969,0.6340315725561626,0.0379868628327631,0.922890103217972,0.9676684881602914,0.0183226614825709,0.9993928354584093,18,384,4
3.2,0.982695810564663,0.01751127897767398,1.0,0.6952034001214329,0.020338269346061796,0.9480874316939891,0.9966605950212508,0.0052135168712733855,1.0,9,384,4
4.1,0.8561778992106861,0.03676604779059751,0.9865664845173042,0.6174863387978142,0.042198925593320516,0.9109744990892531,0.955069823922283,0.01958644973586991,0.9945355191256829,36,384,4
4.2,0.9719186399514269,0.01908082957732515,0.9980267152398299,0.6706132361870066,0.031808558609444704,0.9406496660595024,0.9869459623557985,0.011648480415005266,0.9998482088646022,18,384,4
5.1,0.5953248330297511,0.05221331981852448,0.9043715846994536,0.5170006071645415,0.06172702096027207,0.8533697632058286,0.8054037644201579,0.04390125476026054,0.9632665452337583,18,384,4
5.2,0.5965391621129326,0.054827511869795474,0.8979963570127505,0.5273224043715847,0.05012496237072816,0.8466909532483304,0.7920461445051608,0.05221331981852448,0.9593199757134181,18,384,4
