model,experiment,random_seed,early_stopping,model_path,hyperparameters,train_accuracy,train_f1_weighted,train_f1_macro,train_precision_weighted,train_precision_macro,train_recall_weighted,train_recall_macro,train_top_1_accuracy,train_top_2_accuracy,train_top_3_accuracy,train_top_4_accuracy,train_top_5_accuracy,train_recognition_rate,test_accuracy,test_f1_weighted,test_f1_macro,test_precision_weighted,test_precision_macro,test_recall_weighted,test_recall_macro,test_top_1_accuracy,test_top_2_accuracy,test_top_3_accuracy,test_top_4_accuracy,test_top_5_accuracy,test_recognition_rate
RandomForest,FI_vs_T,42,False,experiment_results_2025-05-26T19-41-11/randomforest_FI_vs_T_2025-05-26T19-41-11_seed42.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9444444444444444,0.940740740740741,0.940740740740741,0.9629629629629629,0.9629629629629629,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9722222222222222,1.0,1.0,1.0,0.0
XGBoost,FI_vs_T,42,False,experiment_results_2025-05-26T19-41-11/xgboost_FI_vs_T_2025-05-26T19-41-11_seed42.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 3, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.6584656084656085,0.6584656084656085,0.7124999999999999,0.7124999999999999,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8194444444444444,0.875,0.9027777777777778,0.9166666666666666,0.0
CatBoost,FI_vs_T,42,False,experiment_results_2025-05-26T19-41-11/catboost_FI_vs_T_2025-05-26T19-41-11_seed42.pkl,"{'border_count': 32, 'depth': 8, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9583333333333334,0.9555555555555555,0.9555555555555555,0.9722222222222222,0.9722222222222222,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9861111111111112,1.0,1.0,1.0,0.0
SVM,FI_vs_T,42,False,experiment_results_2025-05-26T19-41-11/svm_FI_vs_T_2025-05-26T19-41-11_seed42.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4305555555555556,0.4273350922860727,0.4273350922860727,0.6030444863778197,0.6030444863778197,0.4305555555555556,0.4305555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.18055555555555555,0.13324514991181657,0.13324514991181657,0.13756613756613756,0.13756613756613756,0.18055555555555555,0.18055555555555555,0.027777777777777776,0.027777777777777776,0.041666666666666664,0.05555555555555555,0.05555555555555555,0.0
RandomForest,FT_vs_I,42,False,experiment_results_2025-05-26T19-41-11/randomforest_FT_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9166666666666666,0.9037037037037037,0.9037037037037037,0.9212962962962964,0.9212962962962964,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9861111111111112,1.0,1.0,1.0,0.0
XGBoost,FT_vs_I,42,False,experiment_results_2025-05-26T19-41-11/xgboost_FT_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 3, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,0.8074074074074074,0.8074074074074074,0.8425925925925926,0.8425925925925926,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.9166666666666666,0.9444444444444444,0.9583333333333334,0.0
CatBoost,FT_vs_I,42,False,experiment_results_2025-05-26T19-41-11/catboost_FT_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'border_count': 64, 'depth': 8, 'iterations': 200, 'l2_leaf_reg': 5, 'learning_rate': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8888888888888888,0.875,0.875,0.898148148148148,0.898148148148148,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9722222222222222,0.9861111111111112,0.9861111111111112,1.0,0.0
SVM,FT_vs_I,42,False,experiment_results_2025-05-26T19-41-11/svm_FT_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4513888888888889,0.4598207166834618,0.4598207166834618,0.7162396245729579,0.7162396245729579,0.4513888888888889,0.4513888888888889,0.0,0.0,0.0,0.006944444444444444,0.013888888888888888,0.0,0.125,0.07805959472626138,0.07805959472626138,0.08320306236972903,0.08320306236972903,0.125,0.125,0.0,0.013888888888888888,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.0
RandomForest,IF_vs_T,42,False,experiment_results_2025-05-26T19-41-11/randomforest_IF_vs_T_2025-05-26T19-41-11_seed42.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9444444444444444,0.940740740740741,0.940740740740741,0.9629629629629629,0.9629629629629629,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9722222222222222,1.0,1.0,1.0,0.0
XGBoost,IF_vs_T,42,False,experiment_results_2025-05-26T19-41-11/xgboost_IF_vs_T_2025-05-26T19-41-11_seed42.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 3, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.6584656084656085,0.6584656084656085,0.7124999999999999,0.7124999999999999,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8194444444444444,0.875,0.9027777777777778,0.9166666666666666,0.0
CatBoost,IF_vs_T,42,False,experiment_results_2025-05-26T19-41-11/catboost_IF_vs_T_2025-05-26T19-41-11_seed42.pkl,"{'border_count': 32, 'depth': 8, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9583333333333334,0.9555555555555555,0.9555555555555555,0.9722222222222222,0.9722222222222222,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9861111111111112,1.0,1.0,1.0,0.0
SVM,IF_vs_T,42,False,experiment_results_2025-05-26T19-41-11/svm_IF_vs_T_2025-05-26T19-41-11_seed42.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4305555555555556,0.4273350922860727,0.4273350922860727,0.6030444863778197,0.6030444863778197,0.4305555555555556,0.4305555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.18055555555555555,0.13324514991181657,0.13324514991181657,0.13756613756613756,0.13756613756613756,0.18055555555555555,0.18055555555555555,0.027777777777777776,0.027777777777777776,0.041666666666666664,0.05555555555555555,0.05555555555555555,0.0
RandomForest,IT_vs_F,42,False,experiment_results_2025-05-26T19-41-11/randomforest_IT_vs_F_2025-05-26T19-41-11_seed42.pkl,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9305555555555556,0.9166666666666666,0.9166666666666666,0.9259259259259258,0.9259259259259258,0.9305555555555556,0.9305555555555556,0.9305555555555556,0.9583333333333334,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.0
XGBoost,IT_vs_F,42,False,experiment_results_2025-05-26T19-41-11/xgboost_IT_vs_F_2025-05-26T19-41-11_seed42.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 3, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6805555555555556,0.6506613756613757,0.6506613756613757,0.6925925925925926,0.6925925925925926,0.6805555555555556,0.6805555555555556,0.6805555555555556,0.7916666666666666,0.8472222222222222,0.875,0.9305555555555556,0.0
CatBoost,IT_vs_F,42,False,experiment_results_2025-05-26T19-41-11/catboost_IT_vs_F_2025-05-26T19-41-11_seed42.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 5, 'learning_rate': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9166666666666666,0.9055555555555556,0.9055555555555556,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.0
SVM,IT_vs_F,42,False,experiment_results_2025-05-26T19-41-11/svm_IT_vs_F_2025-05-26T19-41-11_seed42.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4166666666666667,0.4105023063356397,0.4105023063356397,0.6021461160953914,0.6021461160953914,0.4166666666666667,0.4166666666666667,0.0,0.0,0.006944444444444444,0.006944444444444444,0.013888888888888888,0.0,0.125,0.09151234567901234,0.09151234567901234,0.08779761904761904,0.08779761904761904,0.125,0.125,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0
RandomForest,TF_vs_I,42,False,experiment_results_2025-05-26T19-41-11/randomforest_TF_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9166666666666666,0.9037037037037037,0.9037037037037037,0.9212962962962964,0.9212962962962964,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9861111111111112,1.0,1.0,1.0,0.0
XGBoost,TF_vs_I,42,False,experiment_results_2025-05-26T19-41-11/xgboost_TF_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 3, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,0.8074074074074074,0.8074074074074074,0.8425925925925926,0.8425925925925926,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.9166666666666666,0.9444444444444444,0.9583333333333334,0.0
CatBoost,TF_vs_I,42,False,experiment_results_2025-05-26T19-41-11/catboost_TF_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'border_count': 64, 'depth': 8, 'iterations': 200, 'l2_leaf_reg': 5, 'learning_rate': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8888888888888888,0.875,0.875,0.898148148148148,0.898148148148148,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9722222222222222,0.9861111111111112,0.9861111111111112,1.0,0.0
SVM,TF_vs_I,42,False,experiment_results_2025-05-26T19-41-11/svm_TF_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4513888888888889,0.4598207166834618,0.4598207166834618,0.7162396245729579,0.7162396245729579,0.4513888888888889,0.4513888888888889,0.0,0.0,0.0,0.006944444444444444,0.013888888888888888,0.0,0.125,0.07805959472626138,0.07805959472626138,0.08320306236972903,0.08320306236972903,0.125,0.125,0.0,0.013888888888888888,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.0
RandomForest,TI_vs_F,42,False,experiment_results_2025-05-26T19-41-11/randomforest_TI_vs_F_2025-05-26T19-41-11_seed42.pkl,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9305555555555556,0.9166666666666666,0.9166666666666666,0.9259259259259258,0.9259259259259258,0.9305555555555556,0.9305555555555556,0.9305555555555556,0.9583333333333334,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.0
XGBoost,TI_vs_F,42,False,experiment_results_2025-05-26T19-41-11/xgboost_TI_vs_F_2025-05-26T19-41-11_seed42.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 3, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6805555555555556,0.6506613756613757,0.6506613756613757,0.6925925925925926,0.6925925925925926,0.6805555555555556,0.6805555555555556,0.6805555555555556,0.7916666666666666,0.8472222222222222,0.875,0.9305555555555556,0.0
CatBoost,TI_vs_F,42,False,experiment_results_2025-05-26T19-41-11/catboost_TI_vs_F_2025-05-26T19-41-11_seed42.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 5, 'learning_rate': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9166666666666666,0.9055555555555556,0.9055555555555556,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.0
SVM,TI_vs_F,42,False,experiment_results_2025-05-26T19-41-11/svm_TI_vs_F_2025-05-26T19-41-11_seed42.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4166666666666667,0.4105023063356397,0.4105023063356397,0.6021461160953914,0.6021461160953914,0.4166666666666667,0.4166666666666667,0.0,0.0,0.006944444444444444,0.006944444444444444,0.013888888888888888,0.0,0.125,0.09151234567901234,0.09151234567901234,0.08779761904761904,0.08779761904761904,0.125,0.125,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0
RandomForest,F_vs_I,42,False,experiment_results_2025-05-26T19-41-11/randomforest_F_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8055555555555556,0.7816137566137566,0.7816137566137566,0.8166666666666667,0.8166666666666667,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.875,0.9166666666666666,0.9722222222222222,0.9861111111111112,0.0
XGBoost,F_vs_I,42,False,experiment_results_2025-05-26T19-41-11/xgboost_F_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5833333333333334,0.5559964726631393,0.5559964726631393,0.6023809523809525,0.6023809523809525,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.7222222222222222,0.8055555555555556,0.8333333333333334,0.8472222222222222,0.0
